EPPI ID,Author (year),Program name,Country,Study title,"Outcome group 
(as described in protocol)","Outcome category 
(as described in study)","Location of data to be extracted 
(page #; table #; table label; row label; column label)",Table type,"Is the coef mentioned in the text? If yes, add start/whole sentence and page #. ",Notes,Does IE analyse qualitative evidence? [yes / no],Does IE mention program cost data (cost (actuals) or cost analyses; not budget)? [yes / no],Coder
121058364_1,Maldonado (2019),Sembrando Oportunidades Familia por Familia in Paraguay,Paraguay,The Graduation approach for the reduction of extreme poverty: impact evaluation of Sembrando Oportunidades Familia por Familia in Paraguay,Poverty,"Poverty measured by the
poverty line","Page 16; table 5; Table 5: Effects of SOF on poverty, according to IV and RE; Row: Poverty measured by the poverty line; Column: IV effect","coefficient with asterisk, std erorr in same col",No,,No,No,AF
121058364_2,Maldonado (2019),Sembrando Oportunidades Familia por Familia in Paraguay,Paraguay,The Graduation approach for the reduction of extreme poverty: impact evaluation of Sembrando Oportunidades Familia por Familia in Paraguay,Poverty,Poverty by MPI (multidimensional poverty index),"Page 16; table 5; Table 5: Effects of SOF on poverty, according to IV and RE; Row: Poverty by MPI (multidimensional poverty index);  Column: IV effect","coefficient with asterisk, std erorr in same col",No,,No,No,AF
121498842_1,Mahecha (2018),Sembrando Oportunidades Familia por Familia in Paraguay,Paraguay,"EVALUACIÓN DE EFECTOS DEL
PROGRAMA SEMBRANDO
OPORTUNIDADES FAMILIA POR
FAMILIA
Resultados",Work/employment,Total daily hours of work (Horas de trabajo diarias del),Page 30; Table 11; Cuadro 11. Efectos en las horas de trabajo diarias de los participantes SOF; Row: Horas de trabajo diarias del; Column EI1 Efecto,"coefficient with asterisk, std erorr in same col",No,,No,No,AF
121498842_2,Mahecha (2018),Sembrando Oportunidades Familia por Familia in Paraguay,Paraguay,"EVALUACIÓN DE EFECTOS DEL
PROGRAMA SEMBRANDO
OPORTUNIDADES FAMILIA POR
FAMILIA
Resultados",Assets,"Total value of the households’ assets (USD
ppp) - Valor total de los activos del hogar (USD ppa)",Page 32; Table 12; Cuadro 12. Efecto sobre los activos de los hogares participantes SOF; Row: Valor total de los activos del hogar (USD ppa); Column: EI1 Efecto,"coefficient with asterisk, std erorr in same col",No,,No,No,AF
121498842_3,Mahecha (2018),Sembrando Oportunidades Familia por Familia in Paraguay,Paraguay,"EVALUACIÓN DE EFECTOS DEL
PROGRAMA SEMBRANDO
OPORTUNIDADES FAMILIA POR
FAMILIA
Resultados",Income,Households’ per capita total monthly income (USD ppa)- Ingreso per cápita total mensual del Hogar (USD ppa),Page 35; Table 13; Cuadro 13. Efectos en SD en los ingresos de los hogares participantes en SOF; Row: Ingreso per cápita total mensual del Hogar (USD ppa); Column: EI1 Efecto,"coefficient with asterisk, std erorr in same col",No,,No,No,AF
121498842_4,Mahecha (2018),Sembrando Oportunidades Familia por Familia in Paraguay,Paraguay,"EVALUACIÓN DE EFECTOS DEL
PROGRAMA SEMBRANDO
OPORTUNIDADES FAMILIA POR
FAMILIA
Resultados",Other -savings,Value of formal savings (USD ppa) - Valor del ahorros formales (USD ppa),Page 38; Table 14; Cuadro 14. Efecto en SD en el ahorro de los hogares participantes en SOF; Row: valor del ahorros formales (USD ppa); Column: EI1 Efecto,"coefficient with asterisk, std erorr in same col",No,,No,No,AF
121498842_5,Mahecha (2018),Sembrando Oportunidades Familia por Familia in Paraguay,Paraguay,"EVALUACIÓN DE EFECTOS DEL
PROGRAMA SEMBRANDO
OPORTUNIDADES FAMILIA POR
FAMILIA
Resultados",Other -savings,Value of informal savings (USD ppa) - Valor del ahorros informales (USD ppa),Page 38; Table 14; Cuadro 14. Efecto en SD en el ahorro de los hogares participantes en SOF; Row: valor del ahorros informales (USD ppa); Column: EI1 Efecto,"coefficient with asterisk, std erorr in same col",No,,No,No,AF
121498842_6,Mahecha (2018),Sembrando Oportunidades Familia por Familia in Paraguay,Paraguay,"EVALUACIÓN DE EFECTOS DEL
PROGRAMA SEMBRANDO
OPORTUNIDADES FAMILIA POR
FAMILIA
Resultados",Other -savings,Value of in-kind savings (USD ppa) - Valor del ahorros en especie (USD ppa),Page 38; Table 14; Cuadro 14. Efecto en SD en el ahorro de los hogares participantes en SOF; Row: valor del ahorros en especie (USD ppa); Column: EI1 Efecto,"coefficient with asterisk, std erorr in same col",No,,No,No,AF
121498842_7,Mahecha (2018),Sembrando Oportunidades Familia por Familia in Paraguay,Paraguay,"EVALUACIÓN DE EFECTOS DEL
PROGRAMA SEMBRANDO
OPORTUNIDADES FAMILIA POR
FAMILIA
Resultados",Expenditure,Total household per capita expenditure (USD ppa) - Valor total del gasto pc en el hogar (USD ppa),Page 40; Table 15; Cuadro 15. Efecto en SD en el consumo mensual de los hogares participantes en SOF; Row: Valor total del gasto pc en el hogar (USD ppa); Column: EI1 Efecto,"coefficient with asterisk, std erorr in same col",No,,No,No,AF
121498842_8,Mahecha (2018),Sembrando Oportunidades Familia por Familia in Paraguay,Paraguay,"EVALUACIÓN DE EFECTOS DEL
PROGRAMA SEMBRANDO
OPORTUNIDADES FAMILIA POR
FAMILIA
Resultados",Health,Happiness level - Nivel de felicidad,Page 46; Table 16; Cuadro 16. Efectos en SD en la reducción de la brecha en expectativas a 2 y 5 años para hogares participantes de SOF; Row: Nivel de felicidad; Column: EI1 Efecto,"coefficient with asterisk, std erorr in same col",No,,No,No,AF
121498842_9,Mahecha (2018),Sembrando Oportunidades Familia por Familia in Paraguay,Paraguay,"EVALUACIÓN DE EFECTOS DEL
PROGRAMA SEMBRANDO
OPORTUNIDADES FAMILIA POR
FAMILIA
Resultados",Health,Wellbeing perception - Percepción de bienestar,Page 46; Table 16; Cuadro 16. Efectos en SD en la reducción de la brecha en expectativas a 2 y 5 años para hogares participantes de SOF; Row: Percepción de bienestar; Column: EI1 Efecto,"coefficient with asterisk, std erorr in same col",No,,No,No,AF
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
