Coder name,Notes,StudyID,EstimateID,Author name,Intervention abbreviation and name,Length of follow up,Exposure to intervention,Consumption support (cash or in-kind) to stabilize food security and prevent households from selling assets to survive ,Healthcare provision to address the basic health needs of individuals and households,"Assets transfer (often livestock, tools, or seed capital) to provide a foundation for an income-generation activity.",Skills training to enable participants to productively manage and grow their assets.,"Savings facilitation (e.g., savings accounts or linkages to microfinance institutions) to foster financial discipline and resilience.",Coaching and mentoring to offer continuous motivation and goal-setting support.,"Social empowerment and linkages to social protection, markets, and public services to encourage opportunities and inclusion in existing systems.",Evaluation Design,Outcome category,Outcome name,Outcome description,Reverse sign,Treatment,Source,Coeff reg,SE reg ,Tstat reg ,CI_LB reg ,CI_UP reg ,P value exact ,Clusters treatment ,Clusters control ,Clusters total ,N treatment,N control ,N total ,# of periods,Does the sample size need to be corrected? ,n_T_revised,Formula Used,d,d_rev,yi,var(d),j adjustment,vi,se(g),CI_l,CI_u,cash_control,cash_control_desc,targeting_women,targeting_women_desc,program_id,program_name,full Intervention country abbreviation,uoa_analysis_needed,uoa_analysis_needed_desc,Year of publication,Name,Country,assets_tot_selected_re,assets_tot_selected_rve,assets_tot_selected_explanation,expenditure_tot_selected_re,expenditure_tot_selected_rve,expenditure_tot_selected_explanations,expenditure_food_selected_re,expenditure_food_selected_rve,expenditure_food_selected_explanations,income_tot_selected_re,income_tot_selected_rve,income_tot_selected_explanations,savings_val_selected_re,savings_val_selected_rve,savings_val_selected_explanation,poverty_status_selected_re,poverty_status_selected_explanations,poverty_index_selected_re,poverty_index_selected_explanations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea,,121058356,121058356_1,Bossuroy et al.,Pathways out of Extreme poverty: Tackling Psychosocial and Capital Constraints with a Multi-Faceted Social Protection Program in Niger,6,24,1,0,1,1,1,1,1,1,Expenditure,"Gross consumption (daily, USD/adult eq.)","Gross consumption (daily, USD/adult eq.)",0,Capital intervention,"page: 42; table: 1; table label: Table 1: Primary Outcomes; row label: Followup 1 (6 months after cash grants) Capital; column label: (1) Gross consumption (daily, USD/adult eq.)",0.15,0.05,3,,,p<.01,,,322,,,4405,,0,4405,6,0.090402053,0.090402053,0.09039692,0.000908523,0.999829652,0.000908368,0.030139145,0.031324195,0.149469645,1,"""...conducting a four-arm randomized controlled trial (RCT) of a multi-faceted programme implemented by the Government of Niger on top of a poverty-targeted cash transfer programme for women (Table 1). All study groups receive monthly cash transfers. The three treatment arms include a core set of components: savings groups, coaching and entrepreneurship training. A ‘Capital’ arm adds a lump-sum cash grant6,7 (and is similar to a graduation programme)"". p2",1,"Yes targeting women: All treatment and control group observations were households with women who were already receiving a cash transfer programme (""We use a four-arm (three treatment and one control) randomized controlled trial (RCT) conducted in a sample of women already receiving monthly poverty-targeted cash transfers from a national program"") p2",1,Niger CTP Full,Niger Cash Transfer Programme,0,"UoA is household p16 (equation) 
UoR: village ""The study is a cluster-randomized controlled trial in which villages with existing cash transfer beneficiaries were randomly allocated to one of the four arms "" p1 but SE clustered at village level ""tandard errors are clustered at the village level, the unit of randomization. "" p16",2021,Bossuroy et al. (2021) Niger CTP Full,Niger,,,,,,,,,Not food expenditure outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea,,121058356,121058356_10,Bossuroy et al.,Pathways out of Extreme poverty: Tackling Psychosocial and Capital Constraints with a Multi-Faceted Social Protection Program in Niger,6,24,1,0,1,1,1,1,1,1,Income,"Wage earnings (yearly, USD)","Wage earnings (yearly, USD)",0,Full intervention (psychosocial + capital interventions),"page: 43; table: 2; table label: Table 2: Beneficiary Revenues; row label: Followup 1 (6 months after cash grants) Full; column label: (3) Wage earnings (yearly, USD)",4.62,1.81,2.552486188,,,p<.01,,,322,,,4476,,0,4476,6,0.076304185,0.076304185,0.076299921,0.00089398,0.999832355,0.00089383,0.029896996,0.017701809,0.134898033,1,"""...conducting a four-arm randomized controlled trial (RCT) of a multi-faceted programme implemented by the Government of Niger on top of a poverty-targeted cash transfer programme for women (Table 1). All study groups receive monthly cash transfers. The three treatment arms include a core set of components: savings groups, coaching and entrepreneurship training. A ‘Capital’ arm adds a lump-sum cash grant6,7 (and is similar to a graduation programme)"". p2",1,"Yes targeting women: All treatment and control group observations were households with women who were already receiving a cash transfer programme (""We use a four-arm (three treatment and one control) randomized controlled trial (RCT) conducted in a sample of women already receiving monthly poverty-targeted cash transfers from a national program"") p2",1,Niger CTP Capital,Niger Cash Transfer Programme,0,"UoA is household p16 (equation) 
UoR: village ""The study is a cluster-randomized controlled trial in which villages with existing cash transfer beneficiaries were randomly allocated to one of the four arms "" p1 but SE clustered at village level ""tandard errors are clustered at the village level, the unit of randomization. "" p16",2021,Bossuroy et al. (2021) Niger CTP Capital,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea,,121058356,121058356_11,Bossuroy et al.,Pathways out of Extreme poverty: Tackling Psychosocial and Capital Constraints with a Multi-Faceted Social Protection Program in Niger,6,24,1,0,1,1,1,1,1,1,Income,"Livestock revenue (yearly, USD)","Livestock revenue (yearly, USD)",0,Capital intervention,"page: 43; table: 2; table label: Table 2: Beneficiary Revenues; row label: Followup 1 (6 months after cash grants) Capital; column label: (4) Livestock revenue (yearly, USD)",5.18,4.44,1.166666667,,,p<.01,,,322,,,4476,,0,4476,6,0.034876408,0.034876408,0.034874459,0.000893723,0.999832355,0.000893573,0.029892694,-0.023715222,0.093464139,1,"""...conducting a four-arm randomized controlled trial (RCT) of a multi-faceted programme implemented by the Government of Niger on top of a poverty-targeted cash transfer programme for women (Table 1). All study groups receive monthly cash transfers. The three treatment arms include a core set of components: savings groups, coaching and entrepreneurship training. A ‘Capital’ arm adds a lump-sum cash grant6,7 (and is similar to a graduation programme)"". p2",1,"Yes targeting women: All treatment and control group observations were households with women who were already receiving a cash transfer programme (""We use a four-arm (three treatment and one control) randomized controlled trial (RCT) conducted in a sample of women already receiving monthly poverty-targeted cash transfers from a national program"") p2",1,Niger CTP Full,Niger Cash Transfer Programme,0,"UoA is household p16 (equation) 
UoR: village ""The study is a cluster-randomized controlled trial in which villages with existing cash transfer beneficiaries were randomly allocated to one of the four arms "" p1 but SE clustered at village level ""tandard errors are clustered at the village level, the unit of randomization. "" p16",2021,Bossuroy et al. (2021) Niger CTP Full,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea,,121058356,121058356_12,Bossuroy et al.,Pathways out of Extreme poverty: Tackling Psychosocial and Capital Constraints with a Multi-Faceted Social Protection Program in Niger,6,24,1,0,1,1,1,1,1,1,Income,"Livestock revenue (yearly, USD)","Livestock revenue (yearly, USD)",0,Full intervention (psychosocial + capital interventions),"page: 43; table: 2; table label: Table 2: Beneficiary Revenues; row label: Followup 1 (6 months after cash grants) Full; column label: (4) Livestock revenue (yearly, USD)",6.13,4.38,1.399543379,,,p<.01,,,322,,,4476,,0,4476,6,0.041838039,0.041838039,0.041835701,0.000893753,0.999832355,0.000893603,0.029893193,-0.016754957,0.100426359,1,"""...conducting a four-arm randomized controlled trial (RCT) of a multi-faceted programme implemented by the Government of Niger on top of a poverty-targeted cash transfer programme for women (Table 1). All study groups receive monthly cash transfers. The three treatment arms include a core set of components: savings groups, coaching and entrepreneurship training. A ‘Capital’ arm adds a lump-sum cash grant6,7 (and is similar to a graduation programme)"". p2",1,"Yes targeting women: All treatment and control group observations were households with women who were already receiving a cash transfer programme (""We use a four-arm (three treatment and one control) randomized controlled trial (RCT) conducted in a sample of women already receiving monthly poverty-targeted cash transfers from a national program"") p2",1,Niger CTP Capital,Niger Cash Transfer Programme,0,"UoA is household p16 (equation) 
UoR: village ""The study is a cluster-randomized controlled trial in which villages with existing cash transfer beneficiaries were randomly allocated to one of the four arms "" p1 but SE clustered at village level ""tandard errors are clustered at the village level, the unit of randomization. "" p16",2021,Bossuroy et al. (2021) Niger CTP Capital,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea,,121058356,121058356_13,Bossuroy et al.,Pathways out of Extreme poverty: Tackling Psychosocial and Capital Constraints with a Multi-Faceted Social Protection Program in Niger,18,24,1,0,1,1,1,1,1,1,Income,"Business revenue (monthly, USD)","Business revenue (monthly, USD)",0,Capital intervention,"page: 43; table: 2; table label: Table 2: Beneficiary Revenues; row label: Followup 2 (18 months after cash grants)Capital; column label: (1) Business revenue (monthly, USD)",19.62,3.81,5.149606299,,,p<.01,,,322,,,4252,,0,4252,6,0.15794555,0.15794555,0.157936259,0.000942201,0.999823519,0.000942034,0.030692577,0.097778809,0.218093709,1,"""...conducting a four-arm randomized controlled trial (RCT) of a multi-faceted programme implemented by the Government of Niger on top of a poverty-targeted cash transfer programme for women (Table 1). All study groups receive monthly cash transfers. The three treatment arms include a core set of components: savings groups, coaching and entrepreneurship training. A ‘Capital’ arm adds a lump-sum cash grant6,7 (and is similar to a graduation programme)"". p2",1,"Yes targeting women: All treatment and control group observations were households with women who were already receiving a cash transfer programme (""We use a four-arm (three treatment and one control) randomized controlled trial (RCT) conducted in a sample of women already receiving monthly poverty-targeted cash transfers from a national program"") p2",1,Niger CTP Full,Niger Cash Transfer Programme,0,"UoA is household p16 (equation) 
UoR: village ""The study is a cluster-randomized controlled trial in which villages with existing cash transfer beneficiaries were randomly allocated to one of the four arms "" p1 but SE clustered at village level ""tandard errors are clustered at the village level, the unit of randomization. "" p16",2021,Bossuroy et al. (2021) Niger CTP Full,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea,,121058356,121058356_14,Bossuroy et al.,Pathways out of Extreme poverty: Tackling Psychosocial and Capital Constraints with a Multi-Faceted Social Protection Program in Niger,18,24,1,0,1,1,1,1,1,1,Income,"Business revenue (monthly, USD)","Business revenue (monthly, USD)",0,Full intervention (psychosocial + capital interventions),"page: 43; table: 2; table label: Table 2: Beneficiary Revenues; row label: Followup 2 (18 months after cash grants)Full; column label: (1) Business revenue (monthly, USD)",20.62,4.11,5.01703163,,,p<.01,,,322,,,4252,,0,4252,6,0.153879302,0.153879302,0.153870249,0.000942126,0.999823519,0.00094196,0.030691362,0.093715179,0.21402532,1,"""...conducting a four-arm randomized controlled trial (RCT) of a multi-faceted programme implemented by the Government of Niger on top of a poverty-targeted cash transfer programme for women (Table 1). All study groups receive monthly cash transfers. The three treatment arms include a core set of components: savings groups, coaching and entrepreneurship training. A ‘Capital’ arm adds a lump-sum cash grant6,7 (and is similar to a graduation programme)"". p2",1,"Yes targeting women: All treatment and control group observations were households with women who were already receiving a cash transfer programme (""We use a four-arm (three treatment and one control) randomized controlled trial (RCT) conducted in a sample of women already receiving monthly poverty-targeted cash transfers from a national program"") p2",1,Niger CTP Capital,Niger Cash Transfer Programme,0,"UoA is household p16 (equation) 
UoR: village ""The study is a cluster-randomized controlled trial in which villages with existing cash transfer beneficiaries were randomly allocated to one of the four arms "" p1 but SE clustered at village level ""tandard errors are clustered at the village level, the unit of randomization. "" p16",2021,Bossuroy et al. (2021) Niger CTP Capital,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea,,121058356,121058356_15,Bossuroy et al.,Pathways out of Extreme poverty: Tackling Psychosocial and Capital Constraints with a Multi-Faceted Social Protection Program in Niger,18,24,1,0,1,1,1,1,1,1,Income,"Harvest value (yearly, USD)","Harvest value (yearly, USD)",0,Capital intervention,"page: 43; table: 2; table label: Table 2: Beneficiary Revenues; row label: Followup 2 (18 months after cash grants)Capital; column label: (2) Harvest value (yearly, USD)",4.85,3.76,1.289893617,,,p>.1,,,322,,,4252,,0,4252,6,0.039562822,0.039562822,0.039560495,0.000940826,0.999823519,0.00094066,0.030670177,-0.020553053,0.099674042,1,"""...conducting a four-arm randomized controlled trial (RCT) of a multi-faceted programme implemented by the Government of Niger on top of a poverty-targeted cash transfer programme for women (Table 1). All study groups receive monthly cash transfers. The three treatment arms include a core set of components: savings groups, coaching and entrepreneurship training. A ‘Capital’ arm adds a lump-sum cash grant6,7 (and is similar to a graduation programme)"". p2",1,"Yes targeting women: All treatment and control group observations were households with women who were already receiving a cash transfer programme (""We use a four-arm (three treatment and one control) randomized controlled trial (RCT) conducted in a sample of women already receiving monthly poverty-targeted cash transfers from a national program"") p2",1,Niger CTP Full,Niger Cash Transfer Programme,0,"UoA is household p16 (equation) 
UoR: village ""The study is a cluster-randomized controlled trial in which villages with existing cash transfer beneficiaries were randomly allocated to one of the four arms "" p1 but SE clustered at village level ""tandard errors are clustered at the village level, the unit of randomization. "" p16",2021,Bossuroy et al. (2021) Niger CTP Full,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea,,121058356,121058356_16,Bossuroy et al.,Pathways out of Extreme poverty: Tackling Psychosocial and Capital Constraints with a Multi-Faceted Social Protection Program in Niger,18,24,1,0,1,1,1,1,1,1,Income,"Harvest value (yearly, USD)","Harvest value (yearly, USD)",0,Full intervention (psychosocial + capital interventions),"page: 43; table: 2; table label: Table 2: Beneficiary Revenues; row label: Followup 2 (18 months after cash grants)Full; column label: (2) Harvest value (yearly, USD)",13.35,4.18,3.193779904,,,p>.1,,,322,,,4252,,0,4252,6,0.097957649,0.097957649,0.097951886,0.000941298,0.999823519,0.000941132,0.030677872,0.037823257,0.158080515,1,"""...conducting a four-arm randomized controlled trial (RCT) of a multi-faceted programme implemented by the Government of Niger on top of a poverty-targeted cash transfer programme for women (Table 1). All study groups receive monthly cash transfers. The three treatment arms include a core set of components: savings groups, coaching and entrepreneurship training. A ‘Capital’ arm adds a lump-sum cash grant6,7 (and is similar to a graduation programme)"". p2",1,"Yes targeting women: All treatment and control group observations were households with women who were already receiving a cash transfer programme (""We use a four-arm (three treatment and one control) randomized controlled trial (RCT) conducted in a sample of women already receiving monthly poverty-targeted cash transfers from a national program"") p2",1,Niger CTP Capital,Niger Cash Transfer Programme,0,"UoA is household p16 (equation) 
UoR: village ""The study is a cluster-randomized controlled trial in which villages with existing cash transfer beneficiaries were randomly allocated to one of the four arms "" p1 but SE clustered at village level ""tandard errors are clustered at the village level, the unit of randomization. "" p16",2021,Bossuroy et al. (2021) Niger CTP Capital,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea,,121058356,121058356_17,Bossuroy et al.,Pathways out of Extreme poverty: Tackling Psychosocial and Capital Constraints with a Multi-Faceted Social Protection Program in Niger,18,24,1,0,1,1,1,1,1,1,Income,"Wage earnings (yearly, USD)","Wage earnings (yearly, USD)",0,Capital intervention,"page: 43; table: 2; table label: Table 2: Beneficiary Revenues; row label: Followup 2 (18 months after cash grants)Capital; column label: (3) Wage earnings (yearly, USD)",2.17,1.61,1.347826087,,,p<.01,,,322,,,4252,,0,4252,6,0.041339691,0.041339691,0.041337259,0.000940834,0.999823519,0.000940668,0.030670315,-0.018776558,0.101451076,1,"""...conducting a four-arm randomized controlled trial (RCT) of a multi-faceted programme implemented by the Government of Niger on top of a poverty-targeted cash transfer programme for women (Table 1). All study groups receive monthly cash transfers. The three treatment arms include a core set of components: savings groups, coaching and entrepreneurship training. A ‘Capital’ arm adds a lump-sum cash grant6,7 (and is similar to a graduation programme)"". p2",1,"Yes targeting women: All treatment and control group observations were households with women who were already receiving a cash transfer programme (""We use a four-arm (three treatment and one control) randomized controlled trial (RCT) conducted in a sample of women already receiving monthly poverty-targeted cash transfers from a national program"") p2",1,Niger CTP Full,Niger Cash Transfer Programme,0,"UoA is household p16 (equation) 
UoR: village ""The study is a cluster-randomized controlled trial in which villages with existing cash transfer beneficiaries were randomly allocated to one of the four arms "" p1 but SE clustered at village level ""tandard errors are clustered at the village level, the unit of randomization. "" p16",2021,Bossuroy et al. (2021) Niger CTP Full,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea,,121058356,121058356_18,Bossuroy et al.,Pathways out of Extreme poverty: Tackling Psychosocial and Capital Constraints with a Multi-Faceted Social Protection Program in Niger,18,24,1,0,1,1,1,1,1,1,Income,"Wage earnings (yearly, USD)","Wage earnings (yearly, USD)",0,Full intervention (psychosocial + capital interventions),"page: 43; table: 2; table label: Table 2: Beneficiary Revenues; row label: Followup 2 (18 months after cash grants)Full; column label: (3) Wage earnings (yearly, USD)",3.51,1.79,1.960893855,,,p<.01,,,322,,,4252,,0,4252,6,0.060143328,0.060143328,0.06013979,0.000940946,0.999823519,0.00094078,0.030672144,2.23882E-05,0.120257191,1,"""...conducting a four-arm randomized controlled trial (RCT) of a multi-faceted programme implemented by the Government of Niger on top of a poverty-targeted cash transfer programme for women (Table 1). All study groups receive monthly cash transfers. The three treatment arms include a core set of components: savings groups, coaching and entrepreneurship training. A ‘Capital’ arm adds a lump-sum cash grant6,7 (and is similar to a graduation programme)"". p2",1,"Yes targeting women: All treatment and control group observations were households with women who were already receiving a cash transfer programme (""We use a four-arm (three treatment and one control) randomized controlled trial (RCT) conducted in a sample of women already receiving monthly poverty-targeted cash transfers from a national program"") p2",1,Niger CTP Capital,Niger Cash Transfer Programme,0,"UoA is household p16 (equation) 
UoR: village ""The study is a cluster-randomized controlled trial in which villages with existing cash transfer beneficiaries were randomly allocated to one of the four arms "" p1 but SE clustered at village level ""tandard errors are clustered at the village level, the unit of randomization. "" p16",2021,Bossuroy et al. (2021) Niger CTP Capital,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
