"Discussion Paper / Deutsches Institut für Entwicklungspolitik",""
"ISSN (Print) 1860-0441",""
"ISSN (Online) 2512-8698",""
"Die  deutsche  Nationalbibliothek  verzeichnet  diese  Publikation","in  der  Deutschen  Nationalbibliografie;"
"detaillierte bibliografische Daten sind im Internet über http://dnb.d-nb.de abrufbar.",""
"The  Deutsche  Nationalbibliothek 
lists 
this  publication 
in","the  Deutsche  Nationalbibliografie;  detailed"
"bibliographic data is available in the Internet at http://dnb.d-nb.de.",""
"ISBN 978-3-96021-089-4 (printed edition)",""
"DOI:10.23661/dp32.2018",""
"Printed on eco-friendly, certified paper",""
"F
rancesco Burchi is a Senior Researcher in the research programme “Transformation of Economic and",""
"Social Systems” at the German Development Institute / Deutsches Institut für Entwicklungspolitik (DIE).",""
"Email: francesco.burchi@die-gdi.de",""
"Christoph Strupat is a Researcher in the research programme “Transformation of Economic and Social",""
"Systems” at the German Development Institute / Deutsches Institut für Entwicklungspolitik (DIE).",""
"Email: christoph.strupat@die-gdi.de",""
"","Published  with  financial  support  from  the  German  Federal  Ministry  for  Economic  Cooperation  and"
"Development (BMZ).",""
"©
 Deutsches Institut für Entwicklungspolitik gGmbH",""
"Tulpenfeld 6, 53113 Bonn",""
" +49 (0)228 94927-0",""
"  +49 (0)228 94927-130",""
"Email: die@die-gdi.de",""
"www.die-gdi.de",""
