"","Acknowledgements","","","","",""
"","We would like to thank Tilman Altenburg, Daniele Malerba and Hannes Oehler for their","","","","",""
"precious  comments  on  the  study.  The  authors  wish  to  recognise  the  contributions  of","","","","","",""
"several parties, without which this study would not have been possible. Our appreciation","","","","","",""
"goes","to","the  Social  Protection  Programme  of  GIZ","in  Malawi","for","their","supportive"
"engagement  with  the  research  team,  as  well  as  the  District  Commissioner’s  Offices  of","","","","","",""
"Mwanza  and  Neno.  In  particular,  we  would  like  to  thank  Karen  Dall,  Martin  Ihm  and","","","","","",""
"","Twapashagha Twea, who supported the impact assessment in many important ways. Many","","","","",""
"","thanks  to  REACH  TRUST  for  their  exceptional  field  work.  We  thank  them  for  their","","","","",""
"","flexibility,  support  and  guidance.  Thanks  most  of  all  to  the  Malawian  households  that","","","","",""
"","shared  their  stories  with  us,  and  gave  their  time  and  interest  to  be  interviewed  for  this","","","","",""
"","study.  This  work  is  funded  by  the  German  Ministry  for  Economic  Cooperation  and","","","","",""
"","Development (BMZ).","","","","",""
