"","Table 10: Impacts of SOF on wellbeing, according to IV and RE","","","","",""
"","","IV","","","RE",""
"Variables","","","","","",""
"","Effect","","SD of CG","Change","","SD of BL"
"","0,04","","0,05","0.23***","","0.24***"
"Happiness Level","","","","","",""
"","(0,08)","","","(0.05)","",""
"","0,28*","","0,30*","0.42***","","0.42***"
"Wellbeing perception","","","","","",""
"","(0,14)","","","(0.06)","",""
"5-year expectations","0,06","","0,05","0.04","","0.04"
"","(0,16)","","","(0.06)","",""
"2-year expectations","0,20","","0,20","0.28***","","0.26***"
"","(0,15)","","","(0.06)","",""
"Reduction in the gap for the 5-year","19,28","","0,24","41.95***","","0.36***"
"expectations (%)","(12,52)","","","(6.36)","",""
"Reduction in the gap for the 2-year","9,91","","0,18","20.14***","","0.28***"
"expectations (%)","(6,98)","","","(4.16)","",""
"Observations","1005","","","854","",""
"Standard errors in brackets, ***p<0.01, ** p<0.05 * p<0.1","","","","","",""
