"","8,857","","2,293**","","17.22","","-102.9","","54.15**","","-60.65",""
"Project","","","","","","","","","","","",""
"","(6,530)","","(1,115)","","(51.83)","","(83.39)","","(23.98)","","(6,004)",""
"","","8,929**","","1,009**","","42.01","","-17.40","","60.05**","","6,221"
"Lump-sum","","","","","","","","","","","",""
"plus training","","","","","","","","","","","",""
"","","(3,964)","","(411.0)","","(75.85)","","(156.9)","","(24.71)","","(6,492)"
"","","18,193","","6,044***","","100.4","","-193.6***","","70.68*","","6,743"
"Lump-sum","","","","","","","","","","","",""
"only","","","","","","","","","","","",""
"","","(15,745)","","(771.8)","","(69.45)","","(69.88)","","(36.70)","","(13,901)"
"","","-84.29","","43.29","","-87.17*","","-104.3","","32.40","","-216.5"
"Training-only","","","","","","","","","","","",""
"","","(4,691)","","(610.8)","","(43.34)","","(76.78)","","(44.26)","","(5,059)"
"Observations","786","786","786","786","786","786","786","786","786","786","786","786"
"Notes: Standard errors in parentheses; *** p<0.01, ** p<0.05, * p<0.1. The specifications include standard control variables from the baseline survey that are not affected by the intervention (see Table 4 for detailed list of","","","","","","","","","","","",""
