"possible to notice that the impact is statistically significant only for the group of households","","","",""
"which 
received","the  combined 
interventions.  For","this  group,","the  project 
reduced","the"
"likelihood to be in poverty by nearly 5.3 percentage points.","","","",""
"Table 17:","Project impact on total consumption and poverty","","",""
"","(1) 
(2)","(3)","(4)",""
"Variables","Per capita total 
Per capita total","Poverty","Poverty",""
"","consumption  
consumption","(yes/no)","(yes/no)",""
"","(MWK) 
(MWK)","","",""
"Project","17,595","-0.0577","",""
"","(12,611)","(0.0439)","",""
"Lump-sum plus training","21,519**","","-0.0532**",""
"","(8,581)","","(0.0242)",""
"Lump-sum only","20,393","","-0.0841",""
"","(34,763)","","(0.120)",""
"Training-only","11,016","","-0.0371",""
"","(11,554)","","(0.0312)",""
"Observations","776 
776","776","776",""
"","Notes: Standard errors in parentheses; *** p<0.01, ** p<0.05, * p<0.1. The specifications include standard control variables from the","","",""
"","baseline survey that are not affected by the intervention (see Table 4 for detailed list of control variables). Standard errors are clustered","","",""
"at the district cluster level.","","","",""
"Source: Authors","","","",""
