"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NTF7NQ8N","webpage","","","The BOMA Project | Kenya | UNFCCC","","","","","https://unfccc.int/climate-action/momentum-for-change/women-for-results/the-boma-project","In April 2013, BOMA signed a $1.9 million, three‐year agreement with the UK Department of International Development to launch 1,338 micro‐enterprises across the greater Marsabit District of Northern Kenya, providing a diversified livelihood for 4,014 pastoral women who support more than 20,070 children. REAP is also expanding in the Samburu District, with 40 businesses in 2012, 81 in 2013 and an equivalent number planned for 2014.","","2025-10-23 15:52:16","2025-10-22 09:41:05","2025-10-23 15:52:16","","","","","","","The BOMA Project | Kenya...","","","","","","","","","","","","","","EPPI-Reviewer ID: 121498830","","","","P05","EPPI-Reviewer ID: 121498830","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNKM4CP4","report","2012","BOMA","BOMA-Sustained-Program-Fact-Sheet-2012","","","","","https://togetherwomenrise.org/wp-content/uploads/2014/01/BOMA-Sustained-Program-Fact-Sheet-2013.pdf","“We used to just sit around and do nothing. We would go and ask for credit. I could spend the whole day begging for credit…but now we can brag; we have something for ourselves. Our lives have really changed for the better. Our husbands don’t shout at us ‘Where have you been?’ They know we are somewhere, doing business. We have been woken up. We will not go back to sleep.” – Ndorogo Ngoyoni, Kargi MISSION: BOMA works to improve the lives of the marginalized residents of Northern Kenya through economic empowerment, education, advocacy, and the training of a new generation of entrepreneurial, ethical leaders. PROGRAM DESCRIPTION: The Rural Entrepreneur Access Project (REAP) is an innovative microfinance program that gives ultra-poor women in Northern Kenya the tools they need to graduate from extreme poverty and adapt to a changing climate. We help pastoral women to start small businesses in their communities, so they can earn a sustainable income, pay for food and medical care, send their children to school, survive drought and accumulate savings for long-term family stability. REAP provides a cash grant (seed capital to launch a business), sustained training in business skills and savings, and hands-on mentoring by BOMA Village Mentors to business groups of three women. When the businesses are established and generating profits, typically at five to six months, Mentors work with REAP groups to form BOMA savings associations and work with each savings group for one year.","2012","2025-10-23 15:52:16","2025-10-22 09:41:05","2025-10-23 15:52:16","","","","","","","BOMA (2012)","","","","","","","","","","","","","","EPPI-Reviewer ID: 121498828","","C:\Users\LucasSempe\Zotero\storage\4WPBK75W\BOMA-Sustained-Program-Fact-Sheet-2013.pdf","","P05","EPPI-Reviewer ID: 121498828","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WEA6VB4E","report","2022","Lee Chae","STRATEGIC FUNDRAISING FOR SOCIAL IMPACT: ANALYSIS OF PROSEPCTIVE DONORS AND RECOMMENDATIONS","","","","","https://evans.uw.edu/wp-content/uploads/2022/07/Capstone-Project-The-BOMA-Project-2022.pdf","The BOMA Project is a nonprofit organization that provides poverty graduation programs to ultra-poor pastoralist women in the arid lands of Africa. Following a $10 million grant from philanthropist MacKenzie Scott, the BOMA Project seeks to shift their fundraising efforts to target corporate and high-net-worth individuals (HNWI). Using a mixed-methods approach, we conducted research on ways to target corporate foundations and HNWI based on sectors specific WR%20$¶VZRUN ZRPHQ¶VHPSRZHUPHQW FOLPDte change, pastoral/agriculture, HQWUHSUHQHXUVKLS $GGLWLRQDOO\ XWLOL]LQJ&DQGLG¶V)RXQGDWLRQ'LUHFWRU\2QOLQHWRRO ZH identified substantial foundations and corporations for each sector that will allow BOMA to engage in these donor regions. Based on our research and analysis, our recommendations are four-fold: focus efforts on corporate foundations; hire an internal prospect research staff member; explore alternative platforms for donor engagement; and facilitate deeper prospect research.","2022","2025-10-23 15:52:16","2025-10-22 09:41:05","2025-10-23 15:52:16","","","","","","","Lee (2022)","","","","","","","","","","","","","","EPPI-Reviewer ID: 121498824","","C:\Users\LucasSempe\Zotero\storage\I4EGKDV7\Capstone-Project-The-BOMA-Project-2022.pdf","","P05","EPPI-Reviewer ID: 121498824","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56TDQD8R","report","2017","BOMA","Analysis of the Midline Survey for the REAP Cohort Funded Through the Bill and Melinda Gates Foundation","","","","","https://www.icrw.org/wp-content/uploads/2018/08/WGCD-BOMA-project-Gates-Midline-Report-9-5-17-2.pdf","The Rural Entrepreneur Access Project (REAP) helps ultra-poor women build a pathway out of extreme poverty by providing them with seed capital, business and life-skills training, a savings program and two years of mentoring. In May 2016, 750 women across 14 locations were enrolled in REAP through funding by the Bill and Melinda Gates Foundation Putting Women and Girls at the Center of Development Global Grand Challenge. Since May 2016, these 750 women, referred to as the Gates cohort, have formed business groups of three women, received two cash grants valued at KES 20,000 ($200 USD) and KES 10,000 ($100 USD), received one year of mentorship from a local BOMA mentor, and formed savings groups that meet monthly. The purpose of this report is to assess the progress these participants have made towards graduating from extreme poverty in the first year of the program. BOMA’s Standard of Living Index (SOLI) survey was administered to participants in the Gates cohort in April 2016, before they were enrolled in the program in May 2016, and again in April 2017, at the program’s midway point. The survey asked participants about their household income, savings, household decision making power, livestock ownership, enrollment of children in school, food security, healthcare use and expenditures. Questions in the midline survey were identical to those in the baseline survey with the exception of questions added about income from the BOMA business, family planning use and phone and M-Pesa usage. Baseline data from a separate cohort of 750 REAP participants enrolled in March 2017 in the same locations is included in this report as a comparison group to ensure that changes observed are specific to REAP participants and are not widespread across the larger population. To determine what progress participants in the Gates cohort have made towards graduating from extreme poverty, the results from the midline survey are compared to results from baseline surveys for the Gates cohort and the March 2017 cohort. At midline, 99.6 percent (249/250) of BOMA businesses are still in operation and 60 percent (151/250) of businesses meet the graduation target of having a business value of at least 125 percent of the initial grant size (KES 37,500). Overall, participants in the Gates cohort reported a 38 percent increase in average household income, from KES 3,655 at baseline to KES 5,041 at midline. The increase in household income was accompanied by a parallel increase in household expenditures. For example, annual school expenses for the Gates cohort increased 31 percent from KES 3,991 at baseline to KES 5,232 at midline, while annual medical expenses increased 21 percent from KES 1,343 at baseline to KES 1,626 at midline. All participants in the Gates cohort reported having savings at midline, compared to only a third of participants in the Gates and March 2017 cohorts at baseline. Participants in the Gates cohort reported an average total savings of 6,815 KES at midline compared with KES 785 and KES 637 at baseline for the Gates and March 2017 cohorts, respectively. This represents an increase in savings of 768 percent over the course of one year for participants in the Gates cohort. The BOMA business, BOMA savings group and personal savings are the primary sources of savings among participants.","2017","2025-10-23 15:52:16","2025-10-22 09:41:05","2025-10-23 15:52:16","","","","","","","BOMA (2017)","","","","","","","","","","","","","","EPPI-Reviewer ID: 121498821","","C:\Users\LucasSempe\Zotero\storage\KQXASVP5\WGCD-BOMA-project-Gates-Midline-Report-9-5-17-2.pdf","","P05","EPPI-Reviewer ID: 121498821","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2VFKCMT","report","2023","CRS","Effectiveness of Poverty Graduation in Improving Household Incomes Among Ultra-poor Women in Napak District","","","","","https://www.acdivoca.org/wp-content/uploads/2025/04/Effectiveness-Poverty-Graduation-Household-Incomes-Ultra-Poor-Women-Napak-District.pdf","","2023","2025-10-23 15:52:16","2025-10-22 09:41:05","2025-10-23 15:52:16","","","","","","","CRS (2023)","","","","","","","","","","","","","","EPPI-Reviewer ID: 121498820","","C:\Users\LucasSempe\Zotero\storage\QGPSHR86\Effectiveness-Poverty-Graduation-Household-Incomes-Ultra-Poor-Women-Napak-District.pdf","","P05","EPPI-Reviewer ID: 121498820","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FHGWW9RF","report","2016","Gobin","Poverty graduation with cash transfers: a randomized evaluation","","","","","https://www.monash.edu/__data/assets/pdf_file/0007/926026/2316pvertygobinsantostoth.pdf","We examine the impact of the Rural Entrepreneur Access Program (REAP), a poverty graduation program that combines multiple interventions with the aim of promoting entrepreneurship among ultra-poor women. The program emphasizes cash transfers (rather than asset transfers) to ultra-poor women, in addition to business skills training, business mentoring and savings. Participation in each of three rounds of the program was randomly determined through a public lottery. In the short-to-medium-run we find that the program has a positive and significant impact on income, savings, asset accumulation, and food security that are similar to more traditional poverty graduation programs that rely on asset transfers.","2016","2025-10-23 15:52:16","2025-10-30 16:36:32","2025-10-23 15:52:16","","","","","","","Gobin (2016)","","","","","","","","","","","","","","EPPI-Reviewer ID: 121752203","","C:\Users\LucasSempe\Zotero\storage\8M2PWSUU\2316pvertygobinsantostoth.pdf","","P05","EPPI-Reviewer ID: 121752203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57Z2UER8","report","2017","Mude Andrew","Can	Asset Transfer	& Asset	Protection Policies Alter Poverty	Dynamics in Northern Kenya?","","","","","https://basis.ucdavis.edu/sites/g/files/dgvnsk466/files/2017-02/ILRI%20BASIS%202017_2_15%20revised%20final.pdf","As	mentioned in the introduction, the	NGO BOMA has implemented a graduation intervention in the Kenyan ASALs following a model relatively similar to the BRAC interventions described in footnote 5 above.	BOMA’s	REAP	(Rural	Entrepreneur	Access	Project),	provides	a	support	package	consisting	in	cash grants for micro-enterprise start-up run by small women groups, as well as intense one-on-one mentoring. Concretely,	the	Poverty	Graduation	program targets	the	most	vulnerable	women	in	a	given village and helps them to establish a sustainable income and savings through a two-year program of sequenced	interventions: 1. Targeting	of	participants	for	the	development	of	three-woman	business	groups; 2. Consumption	support	for six	months; 3. Two	years	of	mentoring; 4. Business	skills	training; 5. A seed	capital	jump	grant	of	$US 150	to	start	the	business; 6. Savings	group	training	and	a	$US 50	progress	grant	(if	the	business	remains	in	operation);	and, 7. Access	to	credit	through	membership	in	savings	groups The	objective	of the	Poverty	Graduation	program	is to	address three	constraints faced	by the	poorest households in the	ASALs: low income, irregular cash flows,	and scare	access to financial services.	The goal	is	to	lift	households	out	of	extreme	poverty	in	two	years,	i.e. for	graduating	women	to	be	able	to face basic needs such as accessing food security, paying education and medical expenditures, and building	a	small	saving	base.	According	to	the	BOMA	management	team,	the	total	cost	per-beneficiary	is approximately	36,000	KhS	($350)	for	the	two-year	intervention.","2017","2025-10-23 15:52:16","2025-10-22 09:41:05","2025-10-23 15:52:16","","","","","","","Mude (2017)","","","","","","","","","","","","","","EPPI-Reviewer ID: 121498815","","C:\Users\LucasSempe\Zotero\storage\B5Q6MCXC\ILRI+BASIS+2017_2_15+revised+final.pdf","","P05","EPPI-Reviewer ID: 121498815","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97CET7A6","report","2008","Huda Karishma","Mid-Term (12 Month) SKS Ultra Poor Process Evaluation","","","","","https://www.findevgateway.org/sites/default/files/publications/files/mfg-en-paper-mid-term-12-month-sks-ultra-poor-process-evaluation-jan-2009_0.pdf","The process evaluation of SKS’ Ultra Poor Program (UPP) took place at the midpoint of the pilot (July 2008- December 2008). It was led by Karishma Huda (Consultant with CGAP/Brac Development Institute), with K. Radhakrishna assisting in data collection. This evaluation focuses on understanding the processes of project implementation from the perspectives of the UP members and SKS staff. As Figure 1 illustrates, processes refer to the mechanism by which key inputs of the program have been operationalized, and the means by which programmatic outcomes are achieved. The executive staff of the SKS NGO mapped out this program pathway, and identified the key process indicators to be evaluated. It should be noted that this evaluation only interrogates the process component of this pathway.","2008","2025-10-23 15:52:16","2025-10-22 09:41:05","2025-10-23 15:52:16","","","","","","","Huda (2008)","","","","","","","","","","","","","","EPPI-Reviewer ID: 121498812","","C:\Users\LucasSempe\Zotero\storage\IPHNU3KW\mfg-en-paper-mid-term-12-month-sks-ultra-poor-process-evaluation-jan-2009_0.pdf","","P07","EPPI-Reviewer ID: 121498812","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KAEBV2XE","journalArticle","2017","Beierl Stefan","Economic Empowerment Pilot Project in Malawi: Qualitative Survey Report","ResearchGate","","","","https://www.researchgate.net/publication/317758458_Economic_Empowerment_Pilot_Project_in_Malawi_Qualitative_Survey_Report","Malawi is one of the poorest countries in the world. To alleviate poverty and food insecurity, particularly in rural areas, in 2006 the social cash transfer Programme SCTP was launched. It has gradually expanded, targeting the ultra-poor (the 10 per cent poorest households in each district) and labour-constrained households. The large scheme, which is heavily funded by the United Nations Children’s Fund (UNICEF), has significantly improved its beneficiaries’ access to basic goods and services, but so far has had limited effects on their potential to graduate out of poverty in a sustainable manner. For this purpose, the Government of Malawi, the Mwanza District Council, and the Community Savings and Investment Promotion (COMSIP) Cooperative Union, with the support of the Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) Social Protection Programme, have designed and implemented the Tingathe Economic Empowerment Pilot Project in the district of Mwanza. The pilot programme targets the same beneficiaries as the SCTP and is implemented in six randomly selected clusters (small geographical areas) of the district. The main rationale behind this project is that the root causes of poverty are lack of income and knowledge/access to information. Therefore, the project provides the following three types of services, in addition to the regular SCTP:  Training package: Households in two randomly selected clusters were offered training in group formation, financial literacy and business management. The trainings took place from January to May 2016. The group formation was meant to lead to the formation of COMSIP Village Savings and Loans (VSL) groups. VSL groups, which are widespread in Malawi, pool their savings and give out loans among the group members. On top of the activities of classical VSL groups, COMSIP promotes group business activities within its groups.  Lump-sum payment for business investment: On 15 June 2016, households in another two randomly selected clusters received an additional payment of MWK 50,000,1 which could be used for business investments. This amount is equivalent to about 58 per cent of the 2013 national poverty line (MWK 85,852) and 94 per cent of the ultra-poverty (or food poverty) line (MWK 53,262) (Handa, Mvula, Angeles, Tsoka, & Barrington, 2016).  Lump-sum payment and training: In two other randomly selected clusters, households received both interventions described above. As most of the recipients are labour-constrained, the pilot offers to the main receivers the option to choose a proxy, i.e., someone who attends the training or engages in business activities on their behalf. This is an innovative feature of the project, which sees beneficiaries as potential entrepreneurs or investors, and not just as workers.","2017","2025-10-23 15:52:16","2025-10-22 09:41:05","2025-10-23 15:52:16","","","","","","","Beierl (2017)","","","","","","","","","","","","","","EPPI-Reviewer ID: 121498803","","C:\Users\LucasSempe\Zotero\storage\Z27GKSKJ\die-dp-2017-15.pdf","","⛔ No DOI found; P12","EPPI-Reviewer ID: 121498803","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P3PMWB8D","webpage","","","World Vision and partners celebrate success of food security project","","","","","https://www.wvi.org/stories/ethiopia/world-vision-and-partners-celebrate-success-food-security-project","he project’s aim is to help households in the PSNP4 coverage areas to achieve food security for their households through a combination of savings, diversifying their sources of income through income-generating activities, skills training and institutional capacity-building. Between 2016 and 2021, the project directly benefited over 500,000 people in 15 districts in Amhara and Oromia regions.","","2025-10-23 15:52:16","2025-10-22 09:41:05","2025-10-23 15:52:16","","","","","","","World Vision and partners...","","","","","","","","","","","","","","EPPI-Reviewer ID: 121498797","","","","P09","EPPI-Reviewer ID: 121498797","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6JJFZWFQ","journalArticle","","","BOMA receives a $10 million grant from IKEA Foundation","IKEA Foundation","","","","https://ikeafoundation.org/press/through-the-ikea-foundation-partnership-boma-will-build-on-its-established-sustainable-and-cost-effective-approach-to-lift-families-out-of-extreme-poverty-through-green-enterprises/","NAIROBI. 12th Dec 2022 — IKEA Foundation has awarded BOMA, a Kenya and U.S. based non-profit, a grant of $10.1 million to support the organization’s innovative approach to alleviating poverty in regions severely impacted by climate change. “We know that there’s an inextricable link between climate change and extreme poverty, especially in the arid regions […]","","2025-10-23 15:52:16","2025-10-22 09:41:05","2025-10-23 15:52:16","","","","","","","BOMA receives a $10...","","","","","","","","","","","","","","EPPI-Reviewer ID: 121498823","","","","P05","EPPI-Reviewer ID: 121498823","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
