Coder name,Notes,StudyID,EstimateID,Author name,Year of publication,Publication type,Intervention abbreviation and name,Intervention description,Country,Frist year of intervention,Length of follow up,Exposure to intervention,Consumption support (cash or in-kind) to stabilize food security and prevent households from selling assets to survive ,Healthcare provision to address the basic health needs of individuals and households,"Assets transfer (often livestock, tools, or seed capital) to provide a foundation for an income-generation activity.",Skills training to enable participants to productively manage and grow their assets.,"Savings facilitation (e.g., savings accounts or linkages to microfinance institutions) to foster financial discipline and resilience.",Coaching and mentoring to offer continuous motivation and goal-setting support.,"Social empowerment and linkages to social protection, markets, and public services to encourage opportunities and inclusion in existing systems.",Evaluation Design,Evaluation Method,Outcome name,HITL_reviewer,HITL_status,HITL_notes
,,Q8XK3EIW,Q8XK3EIW_1,,,,Targeting the Ultra Poor (TUP) Program,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",Afghanistan,2016,24.0,12.0,1,1,1,1,1,1,1,1,2,Per capita total consumption,,,
,,Q8XK3EIW,Q8XK3EIW_2,,,,Targeting the Ultra Poor (TUP) Program,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",Afghanistan,2016,24.0,12.0,1,1,1,1,1,1,1,1,2,Food security index,,,
,,Q8XK3EIW,Q8XK3EIW_3,,,,Targeting the Ultra Poor (TUP) Program,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",Afghanistan,2016,24.0,12.0,1,1,1,1,1,1,1,1,2,Financial inclusion index,,,
,,Q8XK3EIW,Q8XK3EIW_4,,,,Targeting the Ultra Poor (TUP) Program,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",Afghanistan,2016,24.0,12.0,1,1,1,1,1,1,1,1,2,Livestock assets index,,,
,,Q8XK3EIW,Q8XK3EIW_5,,,,Targeting the Ultra Poor (TUP) Program,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",Afghanistan,2016,24.0,12.0,1,1,1,1,1,1,1,1,2,Household assets index,,,
,,Q8XK3EIW,Q8XK3EIW_6,,,,Targeting the Ultra Poor (TUP) Program,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",Afghanistan,2016,24.0,12.0,1,1,1,1,1,1,1,1,2,Total time spent working (primary woman),,,
,,Q8XK3EIW,Q8XK3EIW_7,,,,Targeting the Ultra Poor (TUP) Program,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",Afghanistan,2016,24.0,12.0,1,1,1,1,1,1,1,1,2,Total monthly household income,,,
,,Q8XK3EIW,Q8XK3EIW_8,,,,Targeting the Ultra Poor (TUP) Program,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",Afghanistan,2016,24.0,12.0,1,1,1,1,1,1,1,1,2,Psychological well-being index (primary woman),,,
,,Q8XK3EIW,Q8XK3EIW_9,,,,Targeting the Ultra Poor (TUP) Program,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",Afghanistan,2016,24.0,12.0,1,1,1,1,1,1,1,1,2,Psychological well-being index (primary man),,,
,,Q8XK3EIW,Q8XK3EIW_10,,,,Targeting the Ultra Poor (TUP) Program,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",Afghanistan,2016,24.0,12.0,1,1,1,1,1,1,1,1,2,Child diarrhea rate,,,
