Coder name,Notes,StudyID,EstimateID,Author name,Year of publication,Publication type,Intervention abbreviation and name,Intervention description,Country,Frist year of intervention,Length of follow up,Exposure to intervention,Consumption support (cash or in-kind) to stabilize food security and prevent households from selling assets to survive ,Healthcare provision to address the basic health needs of individuals and households,"Assets transfer (often livestock, tools, or seed capital) to provide a foundation for an income-generation activity.",Skills training to enable participants to productively manage and grow their assets.,"Savings facilitation (e.g., savings accounts or linkages to microfinance institutions) to foster financial discipline and resilience.",Coaching and mentoring to offer continuous motivation and goal-setting support.,"Social empowerment and linkages to social protection, markets, and public services to encourage opportunities and inclusion in existing systems.",Evaluation Design,Evaluation Method,Outcome name,HITL_reviewer,HITL_status,HITL_notes
,,XIPIMS2M,XIPIMS2M_1,,,,Supporting Women's Livelihoods (SWL),"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",Zambia,2015,38.0,24.0,1,0,1,1,1,1,0,1,2,Total household consumption per adult equivalent,,,
,,XIPIMS2M,XIPIMS2M_2,,,,Supporting Women's Livelihoods (SWL),"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",Zambia,2015,38.0,24.0,1,0,1,1,1,1,0,1,2,Food security index,,,
,,XIPIMS2M,XIPIMS2M_3,,,,Supporting Women's Livelihoods (SWL),"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",Zambia,2015,38.0,24.0,1,0,1,1,1,1,0,1,2,Asset wealth index,,,
,,XIPIMS2M,XIPIMS2M_4,,,,Supporting Women's Livelihoods (SWL),"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",Zambia,2015,38.0,24.0,1,0,1,1,1,1,0,1,2,Savings index,,,
,,XIPIMS2M,XIPIMS2M_5,,,,Supporting Women's Livelihoods (SWL),"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",Zambia,2015,38.0,24.0,1,0,1,1,1,1,0,1,2,Aggregate household income,,,
,,XIPIMS2M,XIPIMS2M_6,,,,Supporting Women's Livelihoods (SWL),"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",Zambia,2015,38.0,24.0,1,0,1,1,1,1,0,1,2,Psychological well-being index,,,
,,XIPIMS2M,XIPIMS2M_7,,,,Supporting Women's Livelihoods (SWL),"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",Zambia,2015,38.0,24.0,1,0,1,1,1,1,0,1,2,Extreme poverty,,,
,,XIPIMS2M,XIPIMS2M_8,,,,Supporting Women's Livelihoods (SWL),"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",Zambia,2015,38.0,24.0,1,0,1,1,1,1,0,1,2,Moderate poverty,,,
,,XIPIMS2M,XIPIMS2M_9,,,,Supporting Women's Livelihoods (SWL),"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",Zambia,2015,38.0,24.0,1,0,1,1,1,1,0,1,2,Paid work for others,,,
,,XIPIMS2M,XIPIMS2M_10,,,,Supporting Women's Livelihoods (SWL),"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",Zambia,2015,38.0,24.0,1,0,1,1,1,1,0,1,2,Farming and fishing time,,,
