Coder name,Notes,StudyID,EstimateID,Author name,Year of publication,Publication type,Intervention abbreviation and name,Intervention description,Country,Frist year of intervention,Length of follow up,Exposure to intervention,Consumption support (cash or in-kind) to stabilize food security and prevent households from selling assets to survive ,Healthcare provision to address the basic health needs of individuals and households,"Assets transfer (often livestock, tools, or seed capital) to provide a foundation for an income-generation activity.",Skills training to enable participants to productively manage and grow their assets.,"Savings facilitation (e.g., savings accounts or linkages to microfinance institutions) to foster financial discipline and resilience.",Coaching and mentoring to offer continuous motivation and goal-setting support.,"Social empowerment and linkages to social protection, markets, and public services to encourage opportunities and inclusion in existing systems.",Evaluation Design,Evaluation Method,Outcome name
,,ABM3E3ZP,ABM3E3ZP_1,,,,Sembrando Oportunidades Familia por Familia (SOF),"Graduation-style program providing seed capital, technical training, life skills development, and coaching for rural households in extreme poverty",Paraguay,2016,18.0,24.0,1,0,1,1,1,1,0,0,6;5,Poverty Line
,,ABM3E3ZP,ABM3E3ZP_2,,,,Sembrando Oportunidades Familia por Familia (SOF),"Graduation-style program providing seed capital, technical training, life skills development, and coaching for rural households in extreme poverty",Paraguay,2016,18.0,24.0,1,0,1,1,1,1,0,0,6;5,Poverty Probability
,,ABM3E3ZP,ABM3E3ZP_3,,,,Sembrando Oportunidades Familia por Familia (SOF),"Graduation-style program providing seed capital, technical training, life skills development, and coaching for rural households in extreme poverty",Paraguay,2016,18.0,24.0,1,0,1,1,1,1,0,0,6;5,Total Asset Value
,,ABM3E3ZP,ABM3E3ZP_4,,,,Sembrando Oportunidades Familia por Familia (SOF),"Graduation-style program providing seed capital, technical training, life skills development, and coaching for rural households in extreme poverty",Paraguay,2016,18.0,24.0,1,0,1,1,1,1,0,0,6;5,Animal Asset Value
,,ABM3E3ZP,ABM3E3ZP_5,,,,Sembrando Oportunidades Familia por Familia (SOF),"Graduation-style program providing seed capital, technical training, life skills development, and coaching for rural households in extreme poverty",Paraguay,2016,18.0,24.0,1,0,1,1,1,1,0,0,6;5,Per Capita Monthly Income
,,ABM3E3ZP,ABM3E3ZP_6,,,,Sembrando Oportunidades Familia por Familia (SOF),"Graduation-style program providing seed capital, technical training, life skills development, and coaching for rural households in extreme poverty",Paraguay,2016,18.0,24.0,1,0,1,1,1,1,0,0,6;5,Farming Income
,,ABM3E3ZP,ABM3E3ZP_7,,,,Sembrando Oportunidades Familia por Familia (SOF),"Graduation-style program providing seed capital, technical training, life skills development, and coaching for rural households in extreme poverty",Paraguay,2016,18.0,24.0,1,0,1,1,1,1,0,0,6;5,Informal Savings Probability
,,ABM3E3ZP,ABM3E3ZP_8,,,,Sembrando Oportunidades Familia por Familia (SOF),"Graduation-style program providing seed capital, technical training, life skills development, and coaching for rural households in extreme poverty",Paraguay,2016,18.0,24.0,1,0,1,1,1,1,0,0,6;5,Per Capita Expenditure
,,ABM3E3ZP,ABM3E3ZP_9,,,,Sembrando Oportunidades Familia por Familia (SOF),"Graduation-style program providing seed capital, technical training, life skills development, and coaching for rural households in extreme poverty",Paraguay,2016,18.0,24.0,1,0,1,1,1,1,0,0,6;5,Food Insecurity
,,ABM3E3ZP,ABM3E3ZP_10,,,,Sembrando Oportunidades Familia por Familia (SOF),"Graduation-style program providing seed capital, technical training, life skills development, and coaching for rural households in extreme poverty",Paraguay,2016,18.0,24.0,1,0,1,1,1,1,0,0,6;5,Gender Roles
