Coder name,Notes,StudyID,EstimateID,Author name,Year of publication,Publication type,Intervention abbreviation and name,Intervention description,Country,Frist year of intervention,Length of follow up,Exposure to intervention,Consumption support (cash or in-kind) to stabilize food security and prevent households from selling assets to survive ,Healthcare provision to address the basic health needs of individuals and households,"Assets transfer (often livestock, tools, or seed capital) to provide a foundation for an income-generation activity.",Skills training to enable participants to productively manage and grow their assets.,"Savings facilitation (e.g., savings accounts or linkages to microfinance institutions) to foster financial discipline and resilience.",Coaching and mentoring to offer continuous motivation and goal-setting support.,"Social empowerment and linkages to social protection, markets, and public services to encourage opportunities and inclusion in existing systems.",Evaluation Design,Evaluation Method,Outcome name,_key
,,A3SDHNSC,1,,,,,,,,96.0,,,,,,,,,,,Natural and physical asset index,A3SDHNSC.tei
,,A3SDHNSC,2,,,,,,,,96.0,,,,,,,,,,,Female primary occupation (farm self-employment),A3SDHNSC.tei
,,A3SDHNSC,3,,,,,,,,96.0,,,,,,,,,,,Female primary occupation (day labor),A3SDHNSC.tei
,,A3SDHNSC,4,,,,,,,,96.0,,,,,,,,,,,Cash savings percentage,A3SDHNSC.tei
,,A3SDHNSC,5,,,,,,,,96.0,,,,,,,,,,,Outstanding loan percentage,A3SDHNSC.tei
,,CG73D75P,1,,,,Graduation of the Ultra Poor Pilot,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),Philippines,2018.0,15.0,23.0,,,,,,,,1,1,Monthly consumption per capita,CG73D75P.tei
,,CG73D75P,2,,,,Graduation of the Ultra Poor Pilot,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),Philippines,2018.0,15.0,23.0,,,,,,,,1,1,Food security index,CG73D75P.tei
,,CG73D75P,3,,,,Graduation of the Ultra Poor Pilot,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),Philippines,2018.0,15.0,23.0,,,,,,,,1,1,Productive asset value,CG73D75P.tei
,,CG73D75P,4,,,,Graduation of the Ultra Poor Pilot,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),Philippines,2018.0,15.0,23.0,,,,,,,,1,1,Monthly household income,CG73D75P.tei
,,CG73D75P,5,,,,Graduation of the Ultra Poor Pilot,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),Philippines,2018.0,15.0,23.0,,,,,,,,1,1,Subjective well-being index,CG73D75P.tei
,,CG73D75P,6,,,,Graduation of the Ultra Poor Pilot,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),Philippines,2018.0,15.0,23.0,,,,,,,,1,1,Savings likelihood and amount,CG73D75P.tei
,,Q8XK3EIW,1,,,,,,,,12.0,,,,,,,,,,,Per capita total consumption,Q8XK3EIW.tei
,,Q8XK3EIW,2,,,,,,,,12.0,,,,,,,,,,,Food security index,Q8XK3EIW.tei
,,RSAW8CHM,1,,,,,,,,18.0,,,,,,,,,,,Gross daily consumption per adult equivalent,RSAW8CHM.tei
,,RSAW8CHM,2,,,,,,,,18.0,,,,,,,,,,,Household food security index,RSAW8CHM.tei
,,RSAW8CHM,3,,,,,,,,18.0,,,,,,,,,,,Dietary diversity score,RSAW8CHM.tei
,,TSGTVT7T,1,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services",Bangladesh,2007.0,12.0,24.0,,,,,,,,1,5,House value,TSGTVT7T.tei
,,TSGTVT7T,2,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services",Bangladesh,2007.0,12.0,24.0,,,,,,,,1,5,Cash savings,TSGTVT7T.tei
,,TSGTVT7T,3,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services",Bangladesh,2007.0,12.0,24.0,,,,,,,,1,5,Sanitary latrine holdings,TSGTVT7T.tei
,,TSGTVT7T,4,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services",Bangladesh,2007.0,12.0,24.0,,,,,,,,1,5,Social awareness index,TSGTVT7T.tei
,,TSGTVT7T,5,,,,Challenging the Frontiers of Poverty Reduction (CFPR),"Grant-based approach addressing extreme poverty through asset transfer, subsistence allowance, and livelihood support services",Bangladesh,2007.0,12.0,24.0,,,,,,,,1,5,Food expenditure,TSGTVT7T.tei
,,TUJ6CUI3,1,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1,,Per capita consumption,TUJ6CUI3.tei
,,TUJ6CUI3,2,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1,,Food security index,TUJ6CUI3.tei
,,TUJ6CUI3,3,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1,,Productive and household assets index,TUJ6CUI3.tei
,,TUJ6CUI3,4,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1,,Household income and revenues,TUJ6CUI3.tei
,,TUJ6CUI3,5,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1,,Physical health index,TUJ6CUI3.tei
,,TUJ6CUI3,6,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1,,Mental health index,TUJ6CUI3.tei
,,TUJ6CUI3,7,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1,,Political involvement index,TUJ6CUI3.tei
,,TUJ6CUI3,8,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1,,Women's empowerment index,TUJ6CUI3.tei
,,TUJ6CUI3,9,,,,Graduation Program,"A multifaceted program targeting ultra-poor households with productive asset transfer, consumption support, technical skills training, high-frequency home visits, savings access, and health services/education",,,24.0,24.0,,,,,,,,1,,Adult labor supply,TUJ6CUI3.tei
,,VAUQIN7W,1,,,,,,,,9.0,,,,,,,,,,,Ultra-poverty probability,VAUQIN7W.tei
,,VAUQIN7W,2,,,,,,,,9.0,,,,,,,,,,,Agricultural equipment index,VAUQIN7W.tei
,,VAUQIN7W,3,,,,,,,,9.0,,,,,,,,,,,Severe food insecurity,VAUQIN7W.tei
,,VAUQIN7W,4,,,,,,,,9.0,,,,,,,,,,,Dietary diversity score,VAUQIN7W.tei
,,VAUQIN7W,5,,,,,,,,9.0,,,,,,,,,,,Severe stunting,VAUQIN7W.tei
,,VAUQIN7W,6,,,,,,,,9.0,,,,,,,,,,,Aspired years of education,VAUQIN7W.tei
,,VAUQIN7W,7,,,,,,,,9.0,,,,,,,,,,,Agricultural revenue,VAUQIN7W.tei
