Coder name,Notes,StudyID,EstimateID,Author name,Year of publication,Publication type,Intervention abbreviation and name,Intervention description,Country,Frist year of intervention,Length of follow up,Exposure to intervention,Consumption support (cash or in-kind) to stabilize food security and prevent households from selling assets to survive ,Healthcare provision to address the basic health needs of individuals and households,"Assets transfer (often livestock, tools, or seed capital) to provide a foundation for an income-generation activity.",Skills training to enable participants to productively manage and grow their assets.,"Savings facilitation (e.g., savings accounts or linkages to microfinance institutions) to foster financial discipline and resilience.",Coaching and mentoring to offer continuous motivation and goal-setting support.,"Social empowerment and linkages to social protection, markets, and public services to encourage opportunities and inclusion in existing systems.",Evaluation Design,Evaluation Method,Outcome name,_key
,,9UCQN8H8,9UCQN8H8_1,,,,Targeting the Ultra Poor (TUP),"Asset transfer program providing productive assets (mainly livestock) to ultra-poor households, with consumption support and skills training",India,2007,,,1,0,1,1,0,0,0,1,2,Asset ownership index,9UCQN8H8.tei
,,9UCQN8H8,9UCQN8H8_2,,,,Targeting the Ultra Poor (TUP),"Asset transfer program providing productive assets (mainly livestock) to ultra-poor households, with consumption support and skills training",India,2007,,,1,0,1,1,0,0,0,1,2,Per capita consumption,9UCQN8H8.tei
,,9UCQN8H8,9UCQN8H8_3,,,,Targeting the Ultra Poor (TUP),"Asset transfer program providing productive assets (mainly livestock) to ultra-poor households, with consumption support and skills training",India,2007,,,1,0,1,1,0,0,0,1,2,Food security index,9UCQN8H8.tei
,,9UCQN8H8,9UCQN8H8_4,,,,Targeting the Ultra Poor (TUP),"Asset transfer program providing productive assets (mainly livestock) to ultra-poor households, with consumption support and skills training",India,2007,,,1,0,1,1,0,0,0,1,2,Financial inclusion index,9UCQN8H8.tei
,,9UCQN8H8,9UCQN8H8_5,,,,Targeting the Ultra Poor (TUP),"Asset transfer program providing productive assets (mainly livestock) to ultra-poor households, with consumption support and skills training",India,2007,,,1,0,1,1,0,0,0,1,2,Mental health index,9UCQN8H8.tei
,,9UCQN8H8,9UCQN8H8_6,,,,Targeting the Ultra Poor (TUP),"Asset transfer program providing productive assets (mainly livestock) to ultra-poor households, with consumption support and skills training",India,2007,,,1,0,1,1,0,0,0,1,2,Productive time use,9UCQN8H8.tei
,,9UCQN8H8,9UCQN8H8_7,,,,Targeting the Ultra Poor (TUP),"Asset transfer program providing productive assets (mainly livestock) to ultra-poor households, with consumption support and skills training",India,2007,,,1,0,1,1,0,0,0,1,2,Livestock revenue,9UCQN8H8.tei
,,9UCQN8H8,9UCQN8H8_8,,,,Targeting the Ultra Poor (TUP),"Asset transfer program providing productive assets (mainly livestock) to ultra-poor households, with consumption support and skills training",India,2007,,,1,0,1,1,0,0,0,1,2,Nonfarm microenterprise earnings,9UCQN8H8.tei
,,9UCQN8H8,9UCQN8H8_9,,,,Targeting the Ultra Poor (TUP),"Asset transfer program providing productive assets (mainly livestock) to ultra-poor households, with consumption support and skills training",India,2007,,,1,0,1,1,0,0,0,1,2,Wage income,9UCQN8H8.tei
,,A3SDHNSC,A3SDHNSC_1,,,,Challenging the Frontiers of Poverty Reduction - Targeting the Ultra Poor (CFPR-TUP),"One-off transfer of livestock assets worth 10,000 taka to ultra-poor women, combined with orientation training, savings encouragement, health worker visits, and weekly technical advice",Bangladesh,2002,96,12,1,1,1,1,1,1,0,0,5;8,Natural and physical asset index,A3SDHNSC.tei
,,A3SDHNSC,A3SDHNSC_2,,,,Challenging the Frontiers of Poverty Reduction - Targeting the Ultra Poor (CFPR-TUP),"One-off transfer of livestock assets worth 10,000 taka to ultra-poor women, combined with orientation training, savings encouragement, health worker visits, and weekly technical advice",Bangladesh,2002,96,12,1,1,1,1,1,1,0,0,5;8,Female farm self-employment,A3SDHNSC.tei
,,A3SDHNSC,A3SDHNSC_3,,,,Challenging the Frontiers of Poverty Reduction - Targeting the Ultra Poor (CFPR-TUP),"One-off transfer of livestock assets worth 10,000 taka to ultra-poor women, combined with orientation training, savings encouragement, health worker visits, and weekly technical advice",Bangladesh,2002,96,12,1,1,1,1,1,1,0,0,5;8,Cash savings,A3SDHNSC.tei
,,A3SDHNSC,A3SDHNSC_4,,,,Challenging the Frontiers of Poverty Reduction - Targeting the Ultra Poor (CFPR-TUP),"One-off transfer of livestock assets worth 10,000 taka to ultra-poor women, combined with orientation training, savings encouragement, health worker visits, and weekly technical advice",Bangladesh,2002,96,12,1,1,1,1,1,1,0,0,5;8,Outstanding loans,A3SDHNSC.tei
,,A3SDHNSC,A3SDHNSC_5,,,,Challenging the Frontiers of Poverty Reduction - Targeting the Ultra Poor (CFPR-TUP),"One-off transfer of livestock assets worth 10,000 taka to ultra-poor women, combined with orientation training, savings encouragement, health worker visits, and weekly technical advice",Bangladesh,2002,96,12,1,1,1,1,1,1,0,0,5;8,Female day labor participation,A3SDHNSC.tei
,,CG73D75P,CG73D75P_1,,,,Graduation of the Ultra Poor Pilot,"Graduation-style intervention with asset transfers, coaching, and skills training for 4Ps conditional cash transfer recipients",Philippines,2018,15,23,1,0,1,1,1,1,0,1,2,Monthly consumption per capita,CG73D75P.tei
,,CG73D75P,CG73D75P_2,,,,Graduation of the Ultra Poor Pilot,"Graduation-style intervention with asset transfers, coaching, and skills training for 4Ps conditional cash transfer recipients",Philippines,2018,15,23,1,0,1,1,1,1,0,1,2,Food security index,CG73D75P.tei
,,CG73D75P,CG73D75P_3,,,,Graduation of the Ultra Poor Pilot,"Graduation-style intervention with asset transfers, coaching, and skills training for 4Ps conditional cash transfer recipients",Philippines,2018,15,23,1,0,1,1,1,1,0,1,2,Productive asset value,CG73D75P.tei
,,CG73D75P,CG73D75P_4,,,,Graduation of the Ultra Poor Pilot,"Graduation-style intervention with asset transfers, coaching, and skills training for 4Ps conditional cash transfer recipients",Philippines,2018,15,23,1,0,1,1,1,1,0,1,2,Monthly household income,CG73D75P.tei
,,CG73D75P,CG73D75P_5,,,,Graduation of the Ultra Poor Pilot,"Graduation-style intervention with asset transfers, coaching, and skills training for 4Ps conditional cash transfer recipients",Philippines,2018,15,23,1,0,1,1,1,1,0,1,2,Savings likelihood,CG73D75P.tei
,,CG73D75P,CG73D75P_6,,,,Graduation of the Ultra Poor Pilot,"Graduation-style intervention with asset transfers, coaching, and skills training for 4Ps conditional cash transfer recipients",Philippines,2018,15,23,1,0,1,1,1,1,0,1,2,Group membership likelihood,CG73D75P.tei
,,CG73D75P,CG73D75P_7,,,,Graduation of the Ultra Poor Pilot,"Graduation-style intervention with asset transfers, coaching, and skills training for 4Ps conditional cash transfer recipients",Philippines,2018,15,23,1,0,1,1,1,1,0,1,2,Subjective well-being index,CG73D75P.tei
