Coder name,Notes,StudyID,EstimateID,Author name,Year of publication,Publication type,Intervention abbreviation and name,Intervention description,Country,Frist year of intervention,Length of follow up,Exposure to intervention,Consumption support (cash or in-kind) to stabilize food security and prevent households from selling assets to survive ,Healthcare provision to address the basic health needs of individuals and households,"Assets transfer (often livestock, tools, or seed capital) to provide a foundation for an income-generation activity.",Skills training to enable participants to productively manage and grow their assets.,"Savings facilitation (e.g., savings accounts or linkages to microfinance institutions) to foster financial discipline and resilience.",Coaching and mentoring to offer continuous motivation and goal-setting support.,"Social empowerment and linkages to social protection, markets, and public services to encourage opportunities and inclusion in existing systems.",Evaluation Design,Evaluation Method,Outcome name,_key,paper_id,StudyID_GT,EstimateID_GT
,,A3SDHNSC,1,,,,,,,,96.0,,,,,,,,,,,Natural and physical asset index,A3SDHNSC.tei,121295691,121295691,121295691_1
,,A3SDHNSC,2,,,,,,,,96.0,,,,,,,,,,,Female primary occupation (farm self-employment),A3SDHNSC.tei,121295691,121295691,121295691_2
,,A3SDHNSC,3,,,,,,,,96.0,,,,,,,,,,,Female primary occupation (day labor),A3SDHNSC.tei,121295691,121295691,121295691_3
,,A3SDHNSC,4,,,,,,,,96.0,,,,,,,,,,,Cash savings percentage,A3SDHNSC.tei,121295691,121295691,121295691_4
,,A3SDHNSC,5,,,,,,,,96.0,,,,,,,,,,,Outstanding loan percentage,A3SDHNSC.tei,121295691,121295691,121295691_5
,,CG73D75P,1,,,,Graduation of the Ultra Poor Pilot,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),Philippines,2018.0,15.0,23.0,,,,,,,,1.0,1.0,Monthly consumption per capita,CG73D75P.tei,122182713,122182713,122182713_1
,,CG73D75P,2,,,,Graduation of the Ultra Poor Pilot,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),Philippines,2018.0,15.0,23.0,,,,,,,,1.0,1.0,Food security index,CG73D75P.tei,122182713,122182713,122182713_2
,,CG73D75P,3,,,,Graduation of the Ultra Poor Pilot,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),Philippines,2018.0,15.0,23.0,,,,,,,,1.0,1.0,Productive asset value,CG73D75P.tei,122182713,122182713,122182713_3
,,CG73D75P,4,,,,Graduation of the Ultra Poor Pilot,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),Philippines,2018.0,15.0,23.0,,,,,,,,1.0,1.0,Monthly household income,CG73D75P.tei,122182713,122182713,122182713_4
,,CG73D75P,5,,,,Graduation of the Ultra Poor Pilot,Graduation approach with variations in livelihood asset transfer and coaching models (group vs individual),Philippines,2018.0,15.0,23.0,,,,,,,,1.0,1.0,Subjective well-being index,CG73D75P.tei,122182713,122182713,122182713_5
