Coder name,Notes,StudyID,EstimateID,Author name,Year of publication,Publication type,Intervention abbreviation and name,Intervention description,Country,Frist year of intervention,Length of follow up,Exposure to intervention,Consumption support (cash or in-kind) to stabilize food security and prevent households from selling assets to survive ,Healthcare provision to address the basic health needs of individuals and households,"Assets transfer (often livestock, tools, or seed capital) to provide a foundation for an income-generation activity.",Skills training to enable participants to productively manage and grow their assets.,"Savings facilitation (e.g., savings accounts or linkages to microfinance institutions) to foster financial discipline and resilience.",Coaching and mentoring to offer continuous motivation and goal-setting support.,"Social empowerment and linkages to social protection, markets, and public services to encourage opportunities and inclusion in existing systems.",Evaluation Design,Evaluation Method,Outcome name
,,PHRKN65M,PHRKN65M_1,,,,Tingathe Economic Empowerment Pilot Project (EEP),"Graduation-style intervention providing ultra-poor households with financial training, lump-sum cash transfer, and support for creating Village Savings and Loan groups",Malawi,2016,7,11,1,0,1,1,1,1,0,1,2,Financial literacy index
,,PHRKN65M,PHRKN65M_2,,,,Tingathe Economic Empowerment Pilot Project (EEP),"Graduation-style intervention providing ultra-poor households with financial training, lump-sum cash transfer, and support for creating Village Savings and Loan groups",Malawi,2016,7,11,1,0,1,1,1,1,0,1,2,Saving uptake (yes/no)
,,PHRKN65M,PHRKN65M_3,,,,Tingathe Economic Empowerment Pilot Project (EEP),"Graduation-style intervention providing ultra-poor households with financial training, lump-sum cash transfer, and support for creating Village Savings and Loan groups",Malawi,2016,7,11,1,0,1,1,1,1,0,1,2,Amount savings (MWK)
,,PHRKN65M,PHRKN65M_4,,,,Tingathe Economic Empowerment Pilot Project (EEP),"Graduation-style intervention providing ultra-poor households with financial training, lump-sum cash transfer, and support for creating Village Savings and Loan groups",Malawi,2016,7,11,1,0,1,1,1,1,0,1,2,Loan uptake (yes/no)
,,PHRKN65M,PHRKN65M_5,,,,Tingathe Economic Empowerment Pilot Project (EEP),"Graduation-style intervention providing ultra-poor households with financial training, lump-sum cash transfer, and support for creating Village Savings and Loan groups",Malawi,2016,7,11,1,0,1,1,1,1,0,1,2,Start non-farm business (yes/no)
,,PHRKN65M,PHRKN65M_6,,,,Tingathe Economic Empowerment Pilot Project (EEP),"Graduation-style intervention providing ultra-poor households with financial training, lump-sum cash transfer, and support for creating Village Savings and Loan groups",Malawi,2016,7,11,1,0,1,1,1,1,0,1,2,Per capita number of livestock
,,PHRKN65M,PHRKN65M_7,,,,Tingathe Economic Empowerment Pilot Project (EEP),"Graduation-style intervention providing ultra-poor households with financial training, lump-sum cash transfer, and support for creating Village Savings and Loan groups",Malawi,2016,7,11,1,0,1,1,1,1,0,1,2,Per capita wealth of livestock (MWK)
,,PHRKN65M,PHRKN65M_8,,,,Tingathe Economic Empowerment Pilot Project (EEP),"Graduation-style intervention providing ultra-poor households with financial training, lump-sum cash transfer, and support for creating Village Savings and Loan groups",Malawi,2016,7,11,1,0,1,1,1,1,0,1,2,Per capita number of assets
,,PHRKN65M,PHRKN65M_9,,,,Tingathe Economic Empowerment Pilot Project (EEP),"Graduation-style intervention providing ultra-poor households with financial training, lump-sum cash transfer, and support for creating Village Savings and Loan groups",Malawi,2016,7,11,1,0,1,1,1,1,0,1,2,Per capita quantity of harvest (kg)
,,PHRKN65M,PHRKN65M_10,,,,Tingathe Economic Empowerment Pilot Project (EEP),"Graduation-style intervention providing ultra-poor households with financial training, lump-sum cash transfer, and support for creating Village Savings and Loan groups",Malawi,2016,7,11,1,0,1,1,1,1,0,1,2,Per capita value of harvest (MWK)
,,PHRKN65M,PHRKN65M_11,,,,Tingathe Economic Empowerment Pilot Project (EEP),"Graduation-style intervention providing ultra-poor households with financial training, lump-sum cash transfer, and support for creating Village Savings and Loan groups",Malawi,2016,7,11,1,0,1,1,1,1,0,1,2,Diet diversity score
,,PHRKN65M,PHRKN65M_12,,,,Tingathe Economic Empowerment Pilot Project (EEP),"Graduation-style intervention providing ultra-poor households with financial training, lump-sum cash transfer, and support for creating Village Savings and Loan groups",Malawi,2016,7,11,1,0,1,1,1,1,0,1,2,Per capita total consumption (MWK)
,,PHRKN65M,PHRKN65M_13,,,,Tingathe Economic Empowerment Pilot Project (EEP),"Graduation-style intervention providing ultra-poor households with financial training, lump-sum cash transfer, and support for creating Village Savings and Loan groups",Malawi,2016,7,11,1,0,1,1,1,1,0,1,2,Poor household (yes/no)
,,PHRKN65M,PHRKN65M_14,,,,Tingathe Economic Empowerment Pilot Project (EEP),"Graduation-style intervention providing ultra-poor households with financial training, lump-sum cash transfer, and support for creating Village Savings and Loan groups",Malawi,2016,7,11,1,0,1,1,1,1,0,1,2,Drought recovery (yes/no)
