_key,_tei_file,study_id,author_name,year_of_publication,program_name,country,year_intervention_started,evaluation_design,intervention_description,exposure_to_intervention,length_of_follow_up,intervention_start_year,intervention_start_month,intervention_end_year,intervention_end_month,final_followup_year,final_followup_month,evaluation_design_code,evaluation_method,evaluation_method_code,sample_size_treatment,sample_size_control,component_consumption_support,component_healthcare,component_assets,component_skills_training,component_savings,component_coaching,component_social_empowerment,outcome_name,outcome_description,effect_size,p_value,literal_text,text_position
Q8XK3EIW.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/Q8XK3EIW.tei.xml,,,,Targeting the Ultra Poor (TUP) Program,Afghanistan,2016,Cluster Randomized Controlled Trial,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",12,24,,,,,,,1,Cluster RCT,2,491,728,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Per capita total consumption,Total per capita consumption in PPP USD per month,24.0,,Per-capita consumption increases by 30% relative to the control group,"Page 19, Results section"
Q8XK3EIW.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/Q8XK3EIW.tei.xml,,,,Targeting the Ultra Poor (TUP) Program,Afghanistan,2016,Cluster Randomized Controlled Trial,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",12,24,,,,,,,1,Cluster RCT,2,491,728,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Food security index,Standardized food security index,0.49,0.0005,Food security index increases by 0.49 standard deviations (p-value < 0.0005),"Page 19, Results section"
Q8XK3EIW.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/Q8XK3EIW.tei.xml,,,,Targeting the Ultra Poor (TUP) Program,Afghanistan,2016,Cluster Randomized Controlled Trial,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",12,24,,,,,,,1,Cluster RCT,2,491,728,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Financial inclusion index,Standardized financial inclusion index,2.38,0.0005,Financial inclusion index increases by 2.38 standard deviations (FWER-corrected p-value < 0.0005),"Page 19-20, Table 5"
Q8XK3EIW.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/Q8XK3EIW.tei.xml,,,,Targeting the Ultra Poor (TUP) Program,Afghanistan,2016,Cluster Randomized Controlled Trial,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",12,24,,,,,,,1,Cluster RCT,2,491,728,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Livestock assets index,Standardized livestock assets index,1.06,,Livestock assets index increases by 1.06 SD,"Page 19, Results section"
Q8XK3EIW.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/Q8XK3EIW.tei.xml,,,,Targeting the Ultra Poor (TUP) Program,Afghanistan,2016,Cluster Randomized Controlled Trial,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",12,24,,,,,,,1,Cluster RCT,2,491,728,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Household assets index,Standardized household assets index,0.36,,Household assets index increases by 0.36 SD,"Page 19, Results section"
Q8XK3EIW.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/Q8XK3EIW.tei.xml,,,,Targeting the Ultra Poor (TUP) Program,Afghanistan,2016,Cluster Randomized Controlled Trial,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",12,24,,,,,,,1,Cluster RCT,2,491,728,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Total time spent working (primary woman),Percentage increase in total time spent working,55.0,,55% increase in total time spent working of the primary woman,"Page 19, Results section"
Q8XK3EIW.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/Q8XK3EIW.tei.xml,,,,Targeting the Ultra Poor (TUP) Program,Afghanistan,2016,Cluster Randomized Controlled Trial,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",12,24,,,,,,,1,Cluster RCT,2,491,728,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Total monthly household income,Total monthly household income in PPP USD,69.0,0.007,Total monthly household income increases by USD 69 PPP (p-value 0.007) from USD 307 PPP in control group,"Page 20, Results section"
Q8XK3EIW.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/Q8XK3EIW.tei.xml,,,,Targeting the Ultra Poor (TUP) Program,Afghanistan,2016,Cluster Randomized Controlled Trial,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",12,24,,,,,,,1,Cluster RCT,2,491,728,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Psychological well-being index (primary woman),Standardized psychological well-being index for primary woman,0.58,,Psychological well-being index increases by 0.58 SD for primary woman,"Page 19, Results section"
Q8XK3EIW.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/Q8XK3EIW.tei.xml,,,,Targeting the Ultra Poor (TUP) Program,Afghanistan,2016,Cluster Randomized Controlled Trial,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",12,24,,,,,,,1,Cluster RCT,2,491,728,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Psychological well-being index (primary man),Standardized psychological well-being index for primary man,0.26,,Psychological well-being index increases by 0.26 SD for primary man,"Page 19, Results section"
Q8XK3EIW.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/Q8XK3EIW.tei.xml,,,,Targeting the Ultra Poor (TUP) Program,Afghanistan,2016,Cluster Randomized Controlled Trial,"Multi-faceted intervention providing livestock assets, cash stipend, skills training, savings account, healthcare access, and coaching for ultra-poor women",12,24,,,,,,,1,Cluster RCT,2,491,728,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Child diarrhea rate,Percentage decrease in diarrhea rate for children under five,16.0,,Diarrhea rate in children under five falls by 16%,"Page 19, Results section"
