_key,_tei_file,study_id,author_name,year_of_publication,program_name,country,year_intervention_started,evaluation_design,intervention_description,exposure_to_intervention,length_of_follow_up,intervention_start_year,intervention_start_month,intervention_end_year,intervention_end_month,final_followup_year,final_followup_month,evaluation_design_code,evaluation_method,evaluation_method_code,sample_size_treatment,sample_size_control,component_consumption_support,component_healthcare,component_assets,component_skills_training,component_savings,component_coaching,component_social_empowerment,outcome_name,outcome_description,effect_size,p_value,literal_text,text_position
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015,Cluster randomized controlled trial,"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",24,38,,,,,,,1,Cluster RCT,2,3782,5193,Yes,No,Yes,Yes,Yes,Yes,Not mentioned,Total household consumption per adult equivalent,Household consumption per adult equivalent in standard deviations,0.44,0.09,Total consumption: 0.44 (0.08),"Table B1, Panel B, 38-month impacts"
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015,Cluster randomized controlled trial,"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",24,38,,,,,,,1,Cluster RCT,2,3782,5193,Yes,No,Yes,Yes,Yes,Yes,Not mentioned,Food security index,Food security index in standard deviations,0.23,0.01,Food security: 0.23 (0.07),"Table B1, Panel B, 38-month impacts"
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015,Cluster randomized controlled trial,"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",24,38,,,,,,,1,Cluster RCT,2,3782,5193,Yes,No,Yes,Yes,Yes,Yes,Not mentioned,Asset wealth index,Asset wealth index in standard deviations,0.28,0.01,Assets: 0.28 (0.07),"Table B1, Panel B, 38-month impacts"
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015,Cluster randomized controlled trial,"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",24,38,,,,,,,1,Cluster RCT,2,3782,5193,Yes,No,Yes,Yes,Yes,Yes,Not mentioned,Savings index,Savings index in standard deviations,0.35,0.0,Savings: 0.35 (0.07),"Table B1, Panel B, 38-month impacts"
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015,Cluster randomized controlled trial,"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",24,38,,,,,,,1,Cluster RCT,2,3782,5193,Yes,No,Yes,Yes,Yes,Yes,Not mentioned,Aggregate household income,Aggregate household income in standard deviations,0.27,0.0,Aggregate income: 0.27 (0.05),"Table B1, Panel B, 38-month impacts"
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015,Cluster randomized controlled trial,"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",24,38,,,,,,,1,Cluster RCT,2,3782,5193,Yes,No,Yes,Yes,Yes,Yes,Not mentioned,Psychological well-being index,Psychological well-being index in standard deviations,0.36,0.0,Psychological well-being: 0.36 (0.07),"Table B1, Panel B, 38-month impacts"
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015,Cluster randomized controlled trial,"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",24,38,,,,,,,1,Cluster RCT,2,3782,5193,Yes,No,Yes,Yes,Yes,Yes,Not mentioned,Extreme poverty,Percentage point reduction in extreme poverty (below 336.73 ZMW/month),-7.1,0.01,Full Package: -7.1 percentage points (p<0.01),"Table 3, Poverty impacts"
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015,Cluster randomized controlled trial,"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",24,38,,,,,,,1,Cluster RCT,2,3782,5193,Yes,No,Yes,Yes,Yes,Yes,Not mentioned,Moderate poverty,Percentage point reduction in moderate poverty (below 517.6 ZMW/month),-12.4,0.01,Full Package: -12.4 percentage points (p<0.01),"Table 3, Poverty impacts"
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015,Cluster randomized controlled trial,"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",24,38,,,,,,,1,Cluster RCT,2,3782,5193,Yes,No,Yes,Yes,Yes,Yes,Not mentioned,Paid work for others,Change in minutes per day spent in paid work for others,-13.65,0.0,Full Package: -13.65 (3.36) minutes per day,"Table B13, Time use impacts"
XIPIMS2M.tei,/Users/joshuapolanin/Documents/OM_QEX/data/grobid_outputs/tei/XIPIMS2M.tei.xml,,,,Supporting Women's Livelihoods (SWL),Zambia,2015,Cluster randomized controlled trial,"Multi-faceted program targeting extremely poor rural women with productive grant, skills training, savings group support, and group mentoring",24,38,,,,,,,1,Cluster RCT,2,3782,5193,Yes,No,Yes,Yes,Yes,Yes,Not mentioned,Farming and fishing time,Change in minutes per day spent in farming and fishing,40.94,0.0,Full Package: +40.94 (13.28) minutes per day,"Table B13, Time use impacts"
