_key,study_id,outcome_group,outcome_category,location,literal_text,text_position,timepoint_label,timepoint_months_since_intervention_end,timepoint_literal_text,timepoint_text_position
9UCQN8H8.tei,AuthorYear_TUP,Assets,Asset ownership index,Page 53; Table 1; Household Outcomes; Column 1,"0.2 SD higher at 18 months (p < 0.05), 0.4 SD higher at 3 years (p < 0.01), 0.8 SD higher at 7 years (p < 0.01)","Table 1, Column 1: Asset Index",,,,
9UCQN8H8.tei,AuthorYear_TUP,Expenditure/Consumption,Per capita consumption (2018 US dollar PPP),Page 53; Table 1; Household Outcomes; Column 2,"0.3 SD higher at 18 months and 3 years, growing to 0.7 SD at 7 years, remains 0.6 SD higher at 10 years (p < 0.01)","Table 1, Column 2: Per Capita Consumption",,,,
9UCQN8H8.tei,AuthorYear_TUP,Food Security,Food security index,Page 53; Table 1; Household Outcomes; Column 3,"0.2 SD more food secure at 18 months, 0.25 SD at 3 years, grows to 0.4 SD at 7 years, remains 0.13 SD at 10 years (p < 0.05)","Table 1, Column 3: Food Security Index",,,,
9UCQN8H8.tei,AuthorYear_TUP,Financial Inclusion,Financial inclusion index,Page 53; Table 1; Household Outcomes; Column 5,0.12 SD at year ten (statistically indistinguishable from zero),"Table 1, Column 5: Financial Inclusion",,,,
9UCQN8H8.tei,AuthorYear_TUP,Health,Mental health index,Page 53; Table 1; Individual Outcomes; Column 7,"0.1 SD improvement at 18 months, growing to 0.25 SD by year seven, remains at this level until year ten (p < 0.01)","Table 1, Column 7: Mental Health Index",,,,
9UCQN8H8.tei,AuthorYear_TUP,Work/Employment,Productive time use (minutes),Page 53; Table 1; Individual Outcomes; Column 8,"0.285 SD (60 more minutes) at 18 months, 0.1 SD (21 more minutes) at 3 years, 0.15 SD (30 more minutes) at 7 and 10 years (p < 0.01)","Table 1, Column 8: Productive Time Use",,,,
9UCQN8H8.tei,AuthorYear_TUP,Income,Livestock revenue (monthly),Page 54; Table 2; Column 1,"$10 higher at 18 months, $8 higher at 3 years, $27 higher at 7 years (p < 0.01)","Table 2, Column 1: Livestock Revenue",,,,
9UCQN8H8.tei,AuthorYear_TUP,Work/Employment,Nonfarm microenterprise earnings (monthly),Page 54; Table 2; Column 2,"$25 higher at 3 years, $68 higher at 7 years (p < 0.01), declining by year ten","Table 2, Column 2: Nonfarm Microenterprise Earnings",,,,
9UCQN8H8.tei,AuthorYear_TUP,Work/Employment,Wage income including remittances (monthly),Page 54; Table 2; Columns 5-6,"No difference at 18 months or 3 years, grows to $76-89 by year 7 (p < 0.01), remains high at year 10","Table 2, Columns 5-6: Wage Income",,,,
A3SDHNSC.tei,AuthorYear2015,Assets,Natural and physical asset index,Table A3; Primary outcome table; Column: Asset changes across survey waves,Asset index changes from 2002-2011,"Table A3, Row: Natural and physical asset",,,,
A3SDHNSC.tei,AuthorYear2015,Work/Employment,Female primary occupation (farm self-employment),Table A3; Occupation changes; Column: Female occupation percentages,Farm self-employment: 0.2% (2002) to 39.2% (2011),"Table A3, Row: Farm-self employment",,,,
A3SDHNSC.tei,AuthorYear2015,Work/Employment,Female primary occupation (day labor),Table A3; Occupation changes; Column: Female occupation percentages,Day labor: 24.2% (2002) to 7.5% (2011),"Table A3, Row: Day labour",,,,
