Coder name,Notes,StudyID,EstimateID,Author name,Year of publication,Publication type,Intervention abbreviation and name,Intervention description,Country,Frist year of intervention,Length of follow up,Exposure to intervention,Consumption support (cash or in-kind) to stabilize food security and prevent households from selling assets to survive ,Healthcare provision to address the basic health needs of individuals and households,"Assets transfer (often livestock, tools, or seed capital) to provide a foundation for an income-generation activity.",Skills training to enable participants to productively manage and grow their assets.,"Savings facilitation (e.g., savings accounts or linkages to microfinance institutions) to foster financial discipline and resilience.",Coaching and mentoring to offer continuous motivation and goal-setting support.,"Social empowerment and linkages to social protection, markets, and public services to encourage opportunities and inclusion in existing systems.",Evaluation Design,Evaluation Method,Outcome name,_key
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A 'big-push' program providing a large asset transfer to the poorest Indian households, with weekly consumption support for 30-40 weeks",India,2007,120.0,30.0,1.0,0.0,1,0.0,0.0,0.0,0.0,1,1,Asset ownership index,9UCQN8H8.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A 'big-push' program providing a large asset transfer to the poorest Indian households, with weekly consumption support for 30-40 weeks",India,2007,120.0,30.0,1.0,0.0,1,0.0,0.0,0.0,0.0,1,1,Per capita consumption,9UCQN8H8.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A 'big-push' program providing a large asset transfer to the poorest Indian households, with weekly consumption support for 30-40 weeks",India,2007,120.0,30.0,1.0,0.0,1,0.0,0.0,0.0,0.0,1,1,Food security index,9UCQN8H8.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A 'big-push' program providing a large asset transfer to the poorest Indian households, with weekly consumption support for 30-40 weeks",India,2007,120.0,30.0,1.0,0.0,1,0.0,0.0,0.0,0.0,1,1,Financial inclusion index,9UCQN8H8.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A 'big-push' program providing a large asset transfer to the poorest Indian households, with weekly consumption support for 30-40 weeks",India,2007,120.0,30.0,1.0,0.0,1,0.0,0.0,0.0,0.0,1,1,Mental health index,9UCQN8H8.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A 'big-push' program providing a large asset transfer to the poorest Indian households, with weekly consumption support for 30-40 weeks",India,2007,120.0,30.0,1.0,0.0,1,0.0,0.0,0.0,0.0,1,1,Productive time use,9UCQN8H8.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A 'big-push' program providing a large asset transfer to the poorest Indian households, with weekly consumption support for 30-40 weeks",India,2007,120.0,30.0,1.0,0.0,1,0.0,0.0,0.0,0.0,1,1,Livestock revenue,9UCQN8H8.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A 'big-push' program providing a large asset transfer to the poorest Indian households, with weekly consumption support for 30-40 weeks",India,2007,120.0,30.0,1.0,0.0,1,0.0,0.0,0.0,0.0,1,1,Nonfarm microenterprise earnings,9UCQN8H8.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A 'big-push' program providing a large asset transfer to the poorest Indian households, with weekly consumption support for 30-40 weeks",India,2007,120.0,30.0,1.0,0.0,1,0.0,0.0,0.0,0.0,1,1,Wage income including remittances,9UCQN8H8.tei
,,,nan_nan,,,,Challenging the Frontiers of Poverty Reduction - Targeting the Ultra Poor (CFPR-TUP),"One-off transfer of livestock assets worth 10,000 taka to ultra-poor women, with additional components like health worker visits, technical advice, and weekly stipend",Bangladesh,2002,108.0,,1.0,1.0,1,1.0,1.0,1.0,0.0,5,5;8,Natural and physical asset index,A3SDHNSC.tei
,,,nan_nan,,,,Challenging the Frontiers of Poverty Reduction - Targeting the Ultra Poor (CFPR-TUP),"One-off transfer of livestock assets worth 10,000 taka to ultra-poor women, with additional components like health worker visits, technical advice, and weekly stipend",Bangladesh,2002,108.0,,1.0,1.0,1,1.0,1.0,1.0,0.0,5,5;8,Female farm self-employment,A3SDHNSC.tei
,,,nan_nan,,,,Challenging the Frontiers of Poverty Reduction - Targeting the Ultra Poor (CFPR-TUP),"One-off transfer of livestock assets worth 10,000 taka to ultra-poor women, with additional components like health worker visits, technical advice, and weekly stipend",Bangladesh,2002,108.0,,1.0,1.0,1,1.0,1.0,1.0,0.0,5,5;8,Cash savings percentage,A3SDHNSC.tei
,,,nan_nan,,,,Challenging the Frontiers of Poverty Reduction - Targeting the Ultra Poor (CFPR-TUP),"One-off transfer of livestock assets worth 10,000 taka to ultra-poor women, with additional components like health worker visits, technical advice, and weekly stipend",Bangladesh,2002,108.0,,1.0,1.0,1,1.0,1.0,1.0,0.0,5,5;8,Outstanding loans percentage,A3SDHNSC.tei
,,,nan_nan,,,,Challenging the Frontiers of Poverty Reduction - Targeting the Ultra Poor (CFPR-TUP),"One-off transfer of livestock assets worth 10,000 taka to ultra-poor women, with additional components like health worker visits, technical advice, and weekly stipend",Bangladesh,2002,108.0,,1.0,1.0,1,1.0,1.0,1.0,0.0,5,5;8,Female household chores participation,A3SDHNSC.tei
,,,nan_nan,,,,Graduation of the Ultra Poor Pilot,"A graduation approach targeting ultra-poor households with asset transfers, coaching, skills training, and consumption support",Philippines,2018,15.0,23.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1,1,Monthly consumption per capita,CG73D75P.tei
,,,nan_nan,,,,Graduation of the Ultra Poor Pilot,"A graduation approach targeting ultra-poor households with asset transfers, coaching, skills training, and consumption support",Philippines,2018,15.0,23.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1,1,Food security index,CG73D75P.tei
,,,nan_nan,,,,Graduation of the Ultra Poor Pilot,"A graduation approach targeting ultra-poor households with asset transfers, coaching, skills training, and consumption support",Philippines,2018,15.0,23.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1,1,Productive asset value,CG73D75P.tei
,,,nan_nan,,,,Graduation of the Ultra Poor Pilot,"A graduation approach targeting ultra-poor households with asset transfers, coaching, skills training, and consumption support",Philippines,2018,15.0,23.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1,1,Business ownership,CG73D75P.tei
,,,nan_nan,,,,Graduation of the Ultra Poor Pilot,"A graduation approach targeting ultra-poor households with asset transfers, coaching, skills training, and consumption support",Philippines,2018,15.0,23.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1,1,Savings likelihood and amount,CG73D75P.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,Per capita total consumption,Q8XK3EIW.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,Poverty headcount,Q8XK3EIW.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,Formal bank account ownership,Q8XK3EIW.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,Livestock asset index,Q8XK3EIW.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,Women's labor participation,Q8XK3EIW.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,Total monthly household income,Q8XK3EIW.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,Psychological well-being index,Q8XK3EIW.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,Women's empowerment index,Q8XK3EIW.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,Child diarrhea rate,Q8XK3EIW.tei
,,,nan_nan,,,,Targeting the Ultra Poor (TUP),"A multi-faceted intervention providing livestock assets, cash consumption stipend, skills training, coaching, and complementary services to ultra-poor women in Balkh province",Afghanistan,2016,17.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,School enrollment,Q8XK3EIW.tei
,,,nan_nan,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with three treatment packages (psychosocial, capital, and full) layered on existing national cash transfer program, aimed at improving income-generating activities and welfare for women beneficiaries",Niger,2017,4.0,12.0,1.0,0.0,1,1.0,1.0,1.0,1.0,2,2,Daily household consumption per adult equivalent,RSAW8CHM.tei
,,,nan_nan,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with three treatment packages (psychosocial, capital, and full) layered on existing national cash transfer program, aimed at improving income-generating activities and welfare for women beneficiaries",Niger,2017,4.0,12.0,1.0,0.0,1,1.0,1.0,1.0,1.0,2,2,Household food security index,RSAW8CHM.tei
,,,nan_nan,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with three treatment packages (psychosocial, capital, and full) layered on existing national cash transfer program, aimed at improving income-generating activities and welfare for women beneficiaries",Niger,2017,4.0,12.0,1.0,0.0,1,1.0,1.0,1.0,1.0,2,2,Women's dietary diversity score,RSAW8CHM.tei
,,,nan_nan,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with three treatment packages (psychosocial, capital, and full) layered on existing national cash transfer program, aimed at improving income-generating activities and welfare for women beneficiaries",Niger,2017,4.0,12.0,1.0,0.0,1,1.0,1.0,1.0,1.0,2,2,Business revenue from women's off-farm self-employment,RSAW8CHM.tei
,,,nan_nan,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with three treatment packages (psychosocial, capital, and full) layered on existing national cash transfer program, aimed at improving income-generating activities and welfare for women beneficiaries",Niger,2017,4.0,12.0,1.0,0.0,1,1.0,1.0,1.0,1.0,2,2,Agricultural harvest value for women,RSAW8CHM.tei
,,,nan_nan,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with three treatment packages (psychosocial, capital, and full) layered on existing national cash transfer program, aimed at improving income-generating activities and welfare for women beneficiaries",Niger,2017,4.0,12.0,1.0,0.0,1,1.0,1.0,1.0,1.0,2,2,Wage earnings for women,RSAW8CHM.tei
,,,nan_nan,,,,Niger Economic Inclusion Intervention,"Multi-faceted economic inclusion program with three treatment packages (psychosocial, capital, and full) layered on existing national cash transfer program, aimed at improving income-generating activities and welfare for women beneficiaries",Niger,2017,4.0,12.0,1.0,0.0,1,1.0,1.0,1.0,1.0,2,2,Livestock revenue for women,RSAW8CHM.tei
