_key,intervention_start_year,intervention_start_month,intervention_end_year,intervention_end_month,final_followup_year,final_followup_month,exposure_to_intervention,length_of_follow_up
PHRKN65M.tei,2016,1,2016,12,2017,7,12,7
PHRKN65M.tei,2016,1,2016,12,2017,7,12,7
PHRKN65M.tei,2016,1,2016,12,2017,7,12,7
PHRKN65M.tei,2016,1,2016,12,2017,7,12,7
PHRKN65M.tei,2016,1,2016,12,2017,7,12,7
PHRKN65M.tei,2016,1,2016,12,2017,7,12,7
PHRKN65M.tei,2016,1,2016,12,2017,7,12,7
PHRKN65M.tei,2016,1,2016,12,2017,7,12,7
PHRKN65M.tei,2016,1,2016,12,2017,7,12,7
PHRKN65M.tei,2016,1,2016,12,2017,7,12,7
PHRKN65M.tei,2016,1,2016,12,2017,7,12,7
PHRKN65M.tei,2016,1,2016,12,2017,7,12,7
PHRKN65M.tei,2016,1,2016,12,2017,7,12,7
PHRKN65M.tei,2016,1,2016,12,2017,7,12,7
