study_id,key,outcome_name,outcome_description,treatment_arm,subgroup,table_number,effect_size,standard_error,p_value,confidence_interval,sample_size,literal_text,text_position
55XQSDKK,55XQSDKK,Activities of Daily Living Score,Score measuring ability to perform daily living activities,Any GUP,,15,0.041,0.02,0.01,,2336,0.041*** (0.02),"Table 15, Row 'Any GUP', Column 'Activities of Daily Living Score'"
55XQSDKK,55XQSDKK,Asset Index,Standardized asset index,Any GUP,Endline,10,0.25,0.05,0.01,,2584,0.25*** (0.05),"Table 10, Row 'Any GUP', Column 'Asset Index'"
55XQSDKK,55XQSDKK,Everyone gets enough food,Everyone in household gets enough food everyday (yes/no),Any GUP,Endline,9,0.03,0.02,,,2501,0.03 (0.02),"Table 9, Row 'Any GUP', Column 'Everyone in the household gets enough food everyday'"
55XQSDKK,55XQSDKK,Food consumption per capita,Monthly food consumption per capita in 2014 USD PPP,Any GUP,Endline,8,2.18,1.04,0.05,,2525,2.18** (1.04),"Table 8, Row 'Any GUP', Column 'Food consumption per capita, month'"
55XQSDKK,55XQSDKK,Food consumption per capita,Monthly food consumption per capita in 2014 USD PPP,Any GUP,Followup,8,2.41,0.81,0.01,,2434,2.41*** (0.81),"Table 8, Row 'Any GUP', Column 'Food consumption per capita, month'"
55XQSDKK,55XQSDKK,Household Income from Paid Labor,Monthly household income from paid labor in 2014 PPP USD,Any GUP,,12,0.84,0.48,0.1,,2525,0.84* (0.48),"Table 12, Row 'Any GUP', Column 'Household Income from Paid Labor, month'"
55XQSDKK,55XQSDKK,Household Income from Paid Labor (followup),Monthly household income from paid labor at followup in 2014 PPP USD,Any GUP,,12,0.24,0.67,,,2438,0.24 (0.67),"Table 12, Row 'Any GUP', Column 'Household Income from Paid Labor, month (followup)'"
55XQSDKK,55XQSDKK,Household Non-farm Microenterprise Income,Monthly household non-farm microenterprise income in 2014 PPP USD,Any GUP,,12,5.32,1.82,0.01,,2522,5.32*** (1.82),"Table 12, Row 'Any GUP', Column 'Household Non-farm Microenterprise Income, month'"
55XQSDKK,55XQSDKK,Household Non-farm Microenterprise Income (followup),Monthly household non-farm microenterprise income at followup in 2014 PPP USD,Any GUP,,12,6.13,1.92,0.01,,2438,6.13*** (1.92),"Table 12, Row 'Any GUP', Column 'Household Non-farm Microenterprise Income, month (followup)'"
55XQSDKK,55XQSDKK,Household agricultural income,Monthly household agricultural income in 2014 PPP USD,Any GUP,,12,0.61,0.62,,,2531,0.61 (0.62),"Table 12, Row 'Any GUP', Column 'Household agricultural income, month'"
55XQSDKK,55XQSDKK,Household livestock revenue,Monthly household livestock revenue in 2014 PPP USD,Any GUP,,12,1.31,1.23,,,2519,1.31 (1.23),"Table 12, Row 'Any GUP', Column 'Household livestock revenue, month'"
55XQSDKK,55XQSDKK,Household livestock revenue (followup),Monthly household livestock revenue at followup in 2014 PPP USD,Any GUP,,12,13.6,2.43,0.01,,2436,13.6*** (2.43),"Table 12, Row 'Any GUP', Column 'Household livestock revenue, month (followup)'"
55XQSDKK,55XQSDKK,Joint test of significance,Joint F-test of treatment on all family outcome variables,Ghana,,7,0.846,,0.573,,,Joint F-test of treatment on all family outcome variables 0.846 p-value 0.573,"Table 7, Row 'Ghana'"
55XQSDKK,55XQSDKK,Member has not missed any days due to illness,Whether member has not missed any days due to illness in last month (0-1),Any GUP,,15,0.01,0.03,,,2277,0.01 (0.03),"Table 15, Row 'Any GUP', Column 'Member has not missed any days due to illness, last month'"
55XQSDKK,55XQSDKK,No adults skipped meals,No adults skipped meals (yes/no),Any GUP,Endline,9,0.02,0.02,,,2501,0.02 (0.02),"Table 9, Row 'Any GUP', Column 'No adults skipped meals'"
55XQSDKK,55XQSDKK,Productive Asset Index,Standardized productive asset index,Any GUP,Endline,10,0.25,0.05,0.01,,2584,0.25*** (0.05),"Table 10, Row 'Any GUP', Column 'Productive Asset Index'"
55XQSDKK,55XQSDKK,Total amount borrowed,Total amount borrowed in last 12 months (2014 USD PPP),Any GUP,Endline,11,5.43,4.8,,,2522,5.43 (4.80),"Table 11, Row 'Any GUP', Column 'Total amount borrowed, last 12 months'"
55XQSDKK,55XQSDKK,Total consumption per capita,Monthly total consumption per capita in 2014 USD PPP,Any GUP,Endline,8,2.82,1.42,0.05,,2525,2.82** (1.42),"Table 8, Row 'Any GUP', Column 'Total Consumption per capita, month'"
55XQSDKK,55XQSDKK,Total consumption per capita,Monthly total consumption per capita in 2014 USD PPP,Any GUP,Followup,8,3.22,1.19,0.01,,2434,3.22*** (1.19),"Table 8, Row 'Any GUP', Column 'Total Consumption per capita, month'"
55XQSDKK,55XQSDKK,Total savings,Total savings (2014 USD PPP),Any GUP,Endline,11,16.8,3.09,0.01,,2520,16.8*** (3.09),"Table 11, Row 'Any GUP', Column 'Total savings'"
