study_id,key,outcome_name,outcome_description,treatment_arm,subgroup,table_number,effect_size,standard_error,p_value,confidence_interval,sample_size,literal_text,text_position
949EZS93,949EZS93,Chores,Hours of household chores per week,Basic/training intervention,,3,-0.9,0.304,0.01,,,Basic/training intervention | -0.9*** (0.304),"Table 3, Row 'Basic/training intervention', Column 'Chores'"
949EZS93,949EZS93,Chores,Hours of household chores per week,Business grant intervention,,4,-0.8,0.245,0.01,,,Business grant intervention | -0.8*** (0.245),"Table 4, Row 'Business grant intervention', Column 'Chores'"
949EZS93,949EZS93,Chores,Hours of household chores per week,Girls,Girls,6,-0.9,0.304,0.01,,,Girls | -0.9*** (0.304),"Table 6, Row 'Girls', Column 'Chores'"
949EZS93,949EZS93,Commerce,Transition to commerce activities,Not working,,5,0.07,,0.01,,,Not working | 0.070*** (0.000),"Table 5, Row 'Not working', Column 'Commerce'"
949EZS93,949EZS93,Farm work,Hours of farm work per week,Basic/training intervention,,3,-0.6,0.151,0.01,,,Basic/training intervention | -0.6*** (0.151),"Table 3, Row 'Basic/training intervention', Column 'Farm work'"
949EZS93,949EZS93,Farm work,Hours of farm work per week,Business grant intervention,,4,-0.7,0.303,0.05,,,Business grant intervention | -0.7** (0.303),"Table 4, Row 'Business grant intervention', Column 'Farm work'"
949EZS93,949EZS93,Farm work,Hours of farm work per week,Girls,Girls,6,-0.6,0.151,0.01,,,Girls | -0.6*** (0.151),"Table 6, Row 'Girls', Column 'Farm work'"
949EZS93,949EZS93,Farm work,Hours of farm work per week,Basic/training intervention,,7,-10.0,,0.01,,,Basic/training intervention | -10.0***,"Table 7, Row 'Basic/training intervention', Column 'Farm work'"
949EZS93,949EZS93,Food production,Transition to food production activities,Not working,,5,0.032,,0.01,,,Not working | 0.032*** (0.000),"Table 5, Row 'Not working', Column 'Food production'"
949EZS93,949EZS93,Manufacture,Transition to manufacturing activities,Not working,,5,0.003,,0.1,,,Not working | 0.003* (0.084),"Table 5, Row 'Not working', Column 'Manufacture'"
949EZS93,949EZS93,Service,Transition to service activities,Not working,,5,-0.001,,,,,Not working | -0.001 (0.714),"Table 5, Row 'Not working', Column 'Service'"
949EZS93,949EZS93,Skilled labor,Hours of skilled labor per week,Basic/training intervention,,3,0.0,0.286,,,,Basic/training intervention | 0.0 (0.286),"Table 3, Row 'Basic/training intervention', Column 'Skilled labor'"
949EZS93,949EZS93,Skilled labor,Hours of skilled labor per week,Business grant intervention,,4,1.0,0.29,0.01,,,Business grant intervention | 1.0*** (0.290),"Table 4, Row 'Business grant intervention', Column 'Skilled labor'"
949EZS93,949EZS93,Skilled labor,Hours of skilled labor per week,Girls,Girls,6,0.0,0.286,,,,Girls | 0.0 (0.286),"Table 6, Row 'Girls', Column 'Skilled labor'"
949EZS93,949EZS93,Skilled labor,Hours of skilled labor per week,Basic/training intervention,,7,10.2,,0.01,,,Basic/training intervention | 10.2***,"Table 7, Row 'Basic/training intervention', Column 'Skilled labor'"
949EZS93,949EZS93,Total labor days,Days of total child labor per year,Basic/training intervention,,7,-9.3,,0.01,,,Basic/training intervention | -9.3***,"Table 7, Row 'Basic/training intervention', Column 'Total labor days'"
949EZS93,949EZS93,Total labor hours,Hours of total child labor per week,Basic/training intervention,,3,-1.8,0.405,0.01,,,Basic/training intervention | -1.8*** (0.405),"Table 3, Row 'Basic/training intervention', Column 'Total labor hours'"
949EZS93,949EZS93,Total labor hours,Hours of total child labor per week,Business grant intervention,,4,-0.9,0.448,0.05,,,Business grant intervention | -0.9** (0.448),"Table 4, Row 'Business grant intervention', Column 'Total labor hours'"
949EZS93,949EZS93,Total labor hours,Hours of total child labor per week,Girls,Girls,6,-1.8,0.405,0.01,,,Girls | -1.8*** (0.405),"Table 6, Row 'Girls', Column 'Total labor hours'"
