study_id,key,outcome_name,outcome_description,treatment_arm,subgroup,table_number,effect_size,standard_error,p_value,confidence_interval,sample_size,literal_text,text_position
9BUBMDBG,9BUBMDBG,Brut income in non-agricultural self employment,Gross income from non-agricultural self-employment,Grant,,1,1187,241.4,0.01,,,"grant | 1,187*** (241.4)","Table 1, Row 'grant', Column 'Brut income in non-agricultural self employment'"
9BUBMDBG,9BUBMDBG,Brut income in non-agricultural self employment,Gross income from non-agricultural self-employment,Training,,1,-68.8,240.3,,,,training | -68.80 (240.3),"Table 1, Row 'training', Column 'Brut income in non-agricultural self employment'"
9BUBMDBG,9BUBMDBG,Brut income in non-agricultural self employment,Gross income from non-agricultural self-employment,Grant,,1,1187,241.4,0.01,,2954,"grant | 1,187*** (241.4)","Table 1, Row 'grant', Column 'Brut income in non-agricultural self employment'"
9BUBMDBG,9BUBMDBG,Brut income in non-agricultural self employment,Gross income from non-agricultural self-employment,Training,,1,-68.8,240.3,,,2954,training | -68.80 (240.3),"Table 1, Row 'training', Column 'Brut income in non-agricultural self employment'"
9BUBMDBG,9BUBMDBG,Has non-agricultural self-employment,Binary indicator for having non-agricultural self-employment,Grant,,1,0.123,0.0189,0.01,,,grant | 0.123*** (0.0189),"Table 1, Row 'grant', Column 'Has non-agricultural self-employment'"
9BUBMDBG,9BUBMDBG,Has non-agricultural self-employment,Binary indicator for having non-agricultural self-employment,Training,,1,0.0376,0.0195,0.1,,,training | 0.0376* (0.0195),"Table 1, Row 'training', Column 'Has non-agricultural self-employment'"
9BUBMDBG,9BUBMDBG,Has non-agricultural wage job,Binary indicator for having non-agricultural wage job,Grant,,1,-0.0187,0.02,,,,grant | -0.0187 (0.0200),"Table 1, Row 'grant', Column 'Has non-agricultural wage job'"
9BUBMDBG,9BUBMDBG,Has non-agricultural wage job,Binary indicator for having non-agricultural wage job,Training,,1,0.0207,0.0222,,,,training | 0.0207 (0.0222),"Table 1, Row 'training', Column 'Has non-agricultural wage job'"
9BUBMDBG,9BUBMDBG,Non-agricultural self-employment,Has non-agricultural self-employment (yes/no),Grant,,1,0.123,0.0189,0.01,,2954,grant | 0.123*** (0.0189),"Table 1, Row 'grant', Column 'Has non-agricultural self-employment'"
9BUBMDBG,9BUBMDBG,Non-agricultural self-employment,Has non-agricultural self-employment (yes/no),Training,,1,0.0376,0.0195,0.1,,2954,training | 0.0376* (0.0195),"Table 1, Row 'training', Column 'Has non-agricultural self-employment'"
9BUBMDBG,9BUBMDBG,Non-agricultural wage income,Income from non-agricultural wage employment,Grant,,1,-48.06,547.0,,,,grant | -48.06 (547.0),"Table 1, Row 'grant', Column 'Non-agricultural wage income'"
9BUBMDBG,9BUBMDBG,Non-agricultural wage income,Income from non-agricultural wage employment,Training,,1,509.4,527.8,,,,training | 509.4 (527.8),"Table 1, Row 'training', Column 'Non-agricultural wage income'"
9BUBMDBG,9BUBMDBG,Non-agricultural wage income,Income from non-agricultural wage employment,Grant,,1,-48.06,547.0,,,2954,grant | -48.06 (547.0),"Table 1, Row 'grant', Column 'Non-agricultural wage income'"
9BUBMDBG,9BUBMDBG,Non-agricultural wage income,Income from non-agricultural wage employment,Training,,1,509.4,527.8,,,2954,training | 509.4 (527.8),"Table 1, Row 'training', Column 'Non-agricultural wage income'"
9BUBMDBG,9BUBMDBG,Non-agricultural wage job,Has non-agricultural wage job (yes/no),Grant,,1,-0.0187,0.02,,,2954,grant | -0.0187 (0.0200),"Table 1, Row 'grant', Column 'Has non-agricultural wage job'"
9BUBMDBG,9BUBMDBG,Non-agricultural wage job,Has non-agricultural wage job (yes/no),Training,,1,0.0207,0.0222,,,2954,training | 0.0207 (0.0222),"Table 1, Row 'training', Column 'Has non-agricultural wage job'"
9BUBMDBG,9BUBMDBG,Non-agriculture wage income in private sector,Wage income from private sector non-agricultural employment,Grant,,1,-293.5,428.5,,,,grant | -293.5 (428.5),"Table 1, Row 'grant', Column 'Non-agriculture wage income in private sector'"
9BUBMDBG,9BUBMDBG,Non-agriculture wage income in private sector,Wage income from private sector non-agricultural employment,Training,,1,924.3,440.1,0.05,,,training | 924.3** (440.1),"Table 1, Row 'training', Column 'Non-agriculture wage income in private sector'"
9BUBMDBG,9BUBMDBG,Non-agriculture wage income in private sector,Wage income from private sector non-agricultural employment,Grant,,1,-293.5,428.5,,,2954,grant | -293.5 (428.5),"Table 1, Row 'grant', Column 'Non-agriculture wage income in private sector'"
9BUBMDBG,9BUBMDBG,Non-agriculture wage income in private sector,Wage income from private sector non-agricultural employment,Training,,1,924.3,440.1,0.05,,2954,training | 924.3** (440.1),"Table 1, Row 'training', Column 'Non-agriculture wage income in private sector'"
9BUBMDBG,9BUBMDBG,Per capita expenditures,Log of per capita expenditures,Grant,,1,0.0836,0.0208,0.01,,2954,grant | 0.0836*** (0.0208),"Table 1, Row 'grant', Column 'ln (per capita expenditures)'"
9BUBMDBG,9BUBMDBG,Per capita expenditures,Log of per capita expenditures,Training,,1,0.0281,0.0205,,,2954,training | 0.0281 (0.0205),"Table 1, Row 'training', Column 'ln (per capita expenditures)'"
9BUBMDBG,9BUBMDBG,Profits in non-agricultural self-employment,Profits from non-agricultural self-employment activities,Grant,,1,600.1,144.7,0.01,,,grant | 600.1*** (144.7),"Table 1, Row 'grant', Column 'Profits in non-agricultural self-employment'"
9BUBMDBG,9BUBMDBG,Profits in non-agricultural self-employment,Profits from non-agricultural self-employment activities,Training,,1,-299.2,149.7,0.05,,,training | -299.2** (149.7),"Table 1, Row 'training', Column 'Profits in non-agricultural self-employment'"
9BUBMDBG,9BUBMDBG,Profits in non-agricultural self-employment,Profits from non-agricultural self-employment activities,Grant,,1,600.1,144.7,0.01,,2954,grant | 600.1*** (144.7),"Table 1, Row 'grant', Column 'Profits in non-agricultural self-employment'"
