study_id,key,outcome_name,outcome_description,treatment_arm,subgroup,table_number,effect_size,standard_error,p_value,confidence_interval,sample_size,literal_text,text_position
ABM3E3ZP,ABM3E3ZP,2-year expectations,Expected wellbeing in 2 years,SOF Program,,10,0.2,0.15,,,,2-year expectations | 0.20 (0.15),"Table 10, Row '2-year expectations', Column 'Effect'"
ABM3E3ZP,ABM3E3ZP,2-year expectations gap reduction,Reduction in gap between current and 2-year expected wellbeing (%),SOF Program,,10,9.91,6.98,,,,Reduction in the gap for the 2-year expectations (%) | 9.91 (6.98),"Table 10, Row 'Reduction in the gap for the 2-year expectations (%)', Column 'Effect'"
ABM3E3ZP,ABM3E3ZP,5-year expectations,Expected wellbeing in 5 years,SOF Program,,10,0.06,0.16,,,,5-year expectations | 0.06 (0.16),"Table 10, Row '5-year expectations', Column 'Effect'"
ABM3E3ZP,ABM3E3ZP,5-year expectations gap reduction,Reduction in gap between current and 5-year expected wellbeing (%),SOF Program,,10,19.28,12.52,,,,Reduction in the gap for the 5-year expectations (%) | 19.28 (12.52),"Table 10, Row 'Reduction in the gap for the 5-year expectations (%)', Column 'Effect'"
ABM3E3ZP,ABM3E3ZP,Amount savings,Amount of savings (USD ppp),Project,,6,4408,1369,0.01,,,"Project | 4,408*** (1,369)","Table 6, Row 'Project', Column '(2) Amount savings'"
ABM3E3ZP,ABM3E3ZP,Decision-making index,Household decision-making index score,SOF Program,,11,4.53,3.61,,,,Decision-making index | 4.53 (3.61),"Table 11, Row 'Decision-making index', Column 'Effect'"
ABM3E3ZP,ABM3E3ZP,Empowerment scale,ESAGE empowerment scale score,SOF Program,,11,4.3,2.55,0.1,,,Empowerment scale-ESAGE | 4.30* (2.55),"Table 11, Row 'Empowerment scale-ESAGE', Column 'Effect'"
ABM3E3ZP,ABM3E3ZP,Farming related per capita monthly income,Farming related per capita monthly income (USD ppp),IV Effect,,7,4.52,2.52,0.1,,1005,4.52* (2.52),"Table 7, Row 'Farming related per capita monthly income', Column 'IV Effect'"
ABM3E3ZP,ABM3E3ZP,Financial literacy index,Financial literacy score (index),Project,,5,0.581,0.135,0.01,,,Project | 0.581*** (0.135),"Table 5, Row 'Project', Column '(1) Financial literacy index'"
ABM3E3ZP,ABM3E3ZP,Financial literacy index,Financial literacy score (index),Lump-sum plus training,,5,0.799,0.167,0.01,,,Lump-sum plus training | 0.799*** (0.167),"Table 5, Row 'Lump-sum plus training', Column '(2) Financial literacy index'"
