study_id,key,outcome_name,outcome_description,treatment_arm,subgroup,table_number,effect_size,standard_error,p_value,confidence_interval,sample_size,literal_text,text_position
CG73D75P,CG73D75P,Food security index,Standardized food security index score,T1: Group livelihood/Group coaching,,10,0.2,0.05,0.01,,2288,T1: Grp LH / Grp C | 0.20*** (0.05),"Table 10, Row 'T1: Grp LH / Grp C', Column 'Food security index'"
CG73D75P,CG73D75P,Food security index,Standardized food security index score,T2: Individual livelihood/Group coaching,,10,0.26,0.05,0.01,,2288,T2: Ind LH / Grp C | 0.26*** (0.05),"Table 10, Row 'T2: Ind LH / Grp C', Column 'Food security index'"
CG73D75P,CG73D75P,Food security index,Standardized food security index score,T3: Individual livelihood/Individual coaching,,10,0.28,0.05,0.01,,2288,T3: Ind LH / Ind C | 0.28*** (0.05),"Table 10, Row 'T3: Ind LH / Ind C', Column 'Food security index'"
CG73D75P,CG73D75P,Monthly consumption per capita,Monthly household consumption per capita in pesos,T1: Group livelihood/Group coaching,,10,311.0,119.0,0.05,,2287,T1: Grp LH / Grp C | 311** (119),"Table 10, Row 'T1: Grp LH / Grp C', Column 'Monthly consumption per capita (pesos)'"
CG73D75P,CG73D75P,Monthly consumption per capita,Monthly household consumption per capita in pesos,T2: Individual livelihood/Group coaching,,10,342.0,96.0,0.01,,2287,T2: Ind LH / Grp C | 342*** (96),"Table 10, Row 'T2: Ind LH / Grp C', Column 'Monthly consumption per capita (pesos)'"
CG73D75P,CG73D75P,Monthly consumption per capita,Monthly household consumption per capita in pesos,T3: Individual livelihood/Individual coaching,,10,334.0,114.0,0.01,,2287,T3: Ind LH / Ind C | 334*** (114),"Table 10, Row 'T3: Ind LH / Ind C', Column 'Monthly consumption per capita (pesos)'"
CG73D75P,CG73D75P,Monthly income,Monthly household income in pesos,T1: Group livelihood/Group coaching,,10,4.0,2072.0,,,2288,T1: Grp LH / Grp C | 4 (2072),"Table 10, Row 'T1: Grp LH / Grp C', Column 'Monthly income (pesos)'"
CG73D75P,CG73D75P,Monthly income,Monthly household income in pesos,T2: Individual livelihood/Group coaching,,10,1143.0,2005.0,,,2288,T2: Ind LH / Grp C | 1143 (2005),"Table 10, Row 'T2: Ind LH / Grp C', Column 'Monthly income (pesos)'"
CG73D75P,CG73D75P,Monthly income,Monthly household income in pesos,T3: Individual livelihood/Individual coaching,,10,2893.0,2785.0,,,2288,T3: Ind LH / Ind C | 2893 (2785),"Table 10, Row 'T3: Ind LH / Ind C', Column 'Monthly income (pesos)'"
CG73D75P,CG73D75P,Subjective well-being index,Standardized subjective well-being index score,T1: Group livelihood/Group coaching,,10,0.05,0.05,,,2288,T1: Grp LH / Grp C | 0.05 (0.05),"Table 10, Row 'T1: Grp LH / Grp C', Column 'Subjective well-being index'"
CG73D75P,CG73D75P,Subjective well-being index,Standardized subjective well-being index score,T2: Individual livelihood/Group coaching,,10,0.13,0.04,0.01,,2288,T2: Ind LH / Grp C | 0.13*** (0.04),"Table 10, Row 'T2: Ind LH / Grp C', Column 'Subjective well-being index'"
CG73D75P,CG73D75P,Subjective well-being index,Standardized subjective well-being index score,T3: Individual livelihood/Individual coaching,,10,0.08,0.04,0.1,,2288,T3: Ind LH / Ind C | 0.08* (0.04),"Table 10, Row 'T3: Ind LH / Ind C', Column 'Subjective well-being index'"
CG73D75P,CG73D75P,Value of productive assets,Value of productive assets in pesos,T1: Group livelihood/Group coaching,,10,1954.0,1054.0,0.1,,2288,T1: Grp LH / Grp C | 1954* (1054),"Table 10, Row 'T1: Grp LH / Grp C', Column 'Value of productive assets (pesos)'"
CG73D75P,CG73D75P,Value of productive assets,Value of productive assets in pesos,T2: Individual livelihood/Group coaching,,10,4200.0,1296.0,0.01,,2288,T2: Ind LH / Grp C | 4200*** (1296),"Table 10, Row 'T2: Ind LH / Grp C', Column 'Value of productive assets (pesos)'"
CG73D75P,CG73D75P,Value of productive assets,Value of productive assets in pesos,T3: Individual livelihood/Individual coaching,,10,4484.0,1044.0,0.01,,2288,T3: Ind LH / Ind C | 4484*** (1044),"Table 10, Row 'T3: Ind LH / Ind C', Column 'Value of productive assets (pesos)'"
