study_id,key,outcome_name,outcome_description,treatment_arm,subgroup,table_number,effect_size,standard_error,p_value,confidence_interval,sample_size,literal_text,text_position
K2ZJ4QNZ,K2ZJ4QNZ,Account balances,Total savings account balances in USD,SOUP match,,7,-4.84,4.93,,,1063,SOUP match | -4.84 (4.93),"Table 7, Row 'SOUP match', Column '(3) balances (USD)'"
K2ZJ4QNZ,K2ZJ4QNZ,Animal revenue,Monthly animal revenue in USD,SOUP,,3,0.274,0.873,0.753,,3781,SOUP | 0.274 (0.873),"Table 3, Row 'SOUP', Column '(4) animal revenue, monthly (USD)'"
K2ZJ4QNZ,K2ZJ4QNZ,Asset value index,Standardized index of asset values centered around baseline mean,SOUP,,1,0.112,0.068,0.097,,3801,SOUP | 0.112 (0.068),"Table 1, Row 'SOUP', Column '(1) asset value index'"
K2ZJ4QNZ,K2ZJ4QNZ,Asset value index,Standardized index of asset values centered around baseline mean,GUP no savings,,1,0.228,0.072,0.002,,3801,GUP no sav. | 0.228*** (0.072),"Table 1, Row 'GUP no sav.', Column '(1) asset value index'"
K2ZJ4QNZ,K2ZJ4QNZ,Asset value index,Standardized index of asset values centered around baseline mean,GUP savings,,1,0.11,0.066,0.095,,3801,GUP sav. | 0.110* (0.066),"Table 1, Row 'GUP sav.', Column '(1) asset value index'"
K2ZJ4QNZ,K2ZJ4QNZ,Asset value index,Standardized index of asset values centered around baseline mean,SOUP,,2,0.029,0.076,0.701,,3781,SOUP | 0.029 (0.076),"Table 2, Row 'SOUP', Column '(1) asset value index'"
K2ZJ4QNZ,K2ZJ4QNZ,Asset value index,Standardized index of asset values centered around baseline mean,GUP no savings,,2,0.28,0.078,0.0,,3781,GUP no sav. | 0.280*** (0.078),"Table 2, Row 'GUP no sav.', Column '(1) asset value index'"
K2ZJ4QNZ,K2ZJ4QNZ,Asset value index,Standardized index of asset values centered around baseline mean,GUP savings,,2,0.318,0.082,0.0,,3781,GUP sav. | 0.318*** (0.082),"Table 2, Row 'GUP sav.', Column '(1) asset value index'"
K2ZJ4QNZ,K2ZJ4QNZ,Business income,Monthly business income in USD,SOUP,,3,-1.716,1.447,0.236,,3604,SOUP | -1.716 (1.447),"Table 3, Row 'SOUP', Column '(2) business income, monthly (USD)'"
K2ZJ4QNZ,K2ZJ4QNZ,Consumption index,Standardized index of monthly per capita consumption centered around baseline mean,SOUP,,1,0.138,0.043,0.001,,3707,SOUP | 0.138*** (0.043),"Table 1, Row 'SOUP', Column '(2) consumption index'"
K2ZJ4QNZ,K2ZJ4QNZ,Consumption index,Standardized index of monthly per capita consumption centered around baseline mean,GUP no savings,,1,0.141,0.051,0.006,,3707,GUP no sav. | 0.141*** (0.051),"Table 1, Row 'GUP no sav.', Column '(2) consumption index'"
