study_id,key,outcome_name,outcome_description,treatment_arm,subgroup,table_number,effect_size,standard_error,p_value,confidence_interval,sample_size,literal_text,text_position
PHRKN65M,PHRKN65M,Amount loan,Amount loan (MWK),Project,,6,2018,863.4,0.05,,786,"Project | 2,018** (863.4)","Table 6, Row 'Project', Column '(7) Amount loan (MWK)'"
PHRKN65M,PHRKN65M,Amount loan,Amount loan (MWK),Lump-sum plus training,,6,3005,516.8,0.01,,786,"Lump-sum plus training | 3,005*** (516.8)","Table 6, Row 'Lump-sum plus training', Column '(8) Amount loan (MWK)'"
PHRKN65M,PHRKN65M,Amount savings,Amount savings (MWK),Project,,6,4408,1369,0.01,,784,"Project | 4,408*** (1,369)","Table 6, Row 'Project', Column '(3) Amount savings (MWK)'"
PHRKN65M,PHRKN65M,Amount savings,Amount savings (MWK),Lump-sum plus training,,6,5237,971.4,0.01,,784,"Lump-sum plus training | 5,237*** (971.4)","Table 6, Row 'Lump-sum plus training', Column '(4) Amount savings (MWK)'"
PHRKN65M,PHRKN65M,Asset wealth index,Index of household asset wealth,Project,,11,0.175,0.19,,,786,Project | 0.175 (0.190),"Table 11, Row 'Project', Column 'Asset wealth index'"
PHRKN65M,PHRKN65M,Diet diversity score,Diet diversity score index,Project,,1,0.03,,,,,Project | 0.03,"Table 1, Row 'Project', Column 'Diet diversity score'"
PHRKN65M,PHRKN65M,Drought recovery,Drought recovery (yes/no),Project,,1,0.09,,0.1,,,Project | 0.09*,"Table 1, Row 'Project', Column 'Drought recovery (yes/no)'"
PHRKN65M,PHRKN65M,Financial literacy index,Index measuring financial literacy,Project,,1,0.581,0.135,0.01,,,Project | 0.581*** (0.135),"Table 1, Row 'Project', Column 'Financial literacy index'"
PHRKN65M,PHRKN65M,Financial literacy index,Index measuring financial literacy,Project,,5,0.581,0.135,0.01,,778,Project | 0.581*** (0.135),"Table 5, Row 'Project', Column '(1) Financial literacy index'"
PHRKN65M,PHRKN65M,Financial literacy index,Index measuring financial literacy,Lump-sum plus training,,5,0.799,0.167,0.01,,778,Lump-sum plus training | 0.799*** (0.167),"Table 5, Row 'Lump-sum plus training', Column '(2) Financial literacy index'"
PHRKN65M,PHRKN65M,Financial literacy index,Index measuring financial literacy,Lump-sum only,,5,0.189,0.159,,,778,Lump-sum only | 0.189 (0.159),"Table 5, Row 'Lump-sum only', Column '(2) Financial literacy index'"
PHRKN65M,PHRKN65M,Financial literacy index,Index measuring financial literacy,Training-only,,5,0.71,0.0858,0.01,,778,Training-only | 0.710*** (0.0858),"Table 5, Row 'Training-only', Column '(2) Financial literacy index'"
PHRKN65M,PHRKN65M,HFIA scale,Household food insecurity access scale,Project,,1,-0.15,,,,,Project | -0.15,"Table 1, Row 'Project', Column 'Household food insecurity access scale (HFIA)'"
PHRKN65M,PHRKN65M,Loan uptake,Loan uptake (yes/no),Project,,6,0.186,0.0724,0.05,,786,Project | 0.186** (0.0724),"Table 6, Row 'Project', Column '(5) Loan uptake (yes/no)'"
PHRKN65M,PHRKN65M,Loan uptake,Loan uptake (yes/no),Lump-sum plus training,,6,0.171,0.0527,0.01,,786,Lump-sum plus training | 0.171*** (0.0527),"Table 6, Row 'Lump-sum plus training', Column '(6) Loan uptake (yes/no)'"
PHRKN65M,PHRKN65M,Months needed for drought recovery,Number of months needed for drought recovery,Project,,1,-1.24,,0.05,,,Project | -1.24**,"Table 1, Row 'Project', Column 'Number of months needed for drought recovery'"
PHRKN65M,PHRKN65M,Number of working hours,Number of working hours,Project,,8,-2.705,1.631,,,786,Project | -2.705 (1.631),"Table 8, Row 'Project', Column '(3) Number of working hours'"
PHRKN65M,PHRKN65M,Number of working hours,Number of working hours,Training-only,,8,-2.488,1.643,,,786,Training-only | -2.488 (1.643),"Table 8, Row 'Training-only', Column '(4) Number of working hours'"
PHRKN65M,PHRKN65M,Paid work,Paid work (yes/no),Project,,8,-0.0447,0.0325,,,786,Project | -0.0447 (0.0325),"Table 8, Row 'Project', Column '(1) Paid work (yes/no)'"
PHRKN65M,PHRKN65M,Paid work,Paid work (yes/no),Training-only,,8,-0.0756,0.024,0.01,,786,Training-only | -0.0756*** (0.0240),"Table 8, Row 'Training-only', Column '(2) Paid work (yes/no)'"
PHRKN65M,PHRKN65M,Per capita expenditures on durable assets,Annual expenditures on durable assets per household member (MWK),Project,,11,179.4,164.9,,,786,Project | 179.4 (164.9),"Table 11, Row 'Project', Column 'Per capita exp. on durable assets (MWK)'"
PHRKN65M,PHRKN65M,Per capita expenditures on livestock,Annual expenditures on livestock per household member (MWK),Project,,9,6477,2793,0.05,,786,"Project | 6,477** (2,793)","Table 9, Row 'Project', Column 'Per capita expenditures on livestock (MWK)'"
PHRKN65M,PHRKN65M,Per capita food consumption,Per capita food consumption (MWK),Project,,1,8385,,,,,"Project | 8,385","Table 1, Row 'Project', Column 'Per capita food consumption (MWK)'"
PHRKN65M,PHRKN65M,Per capita number of agriculture assets,Number of agricultural assets per household member,Project,,10,0.073,0.049,,,786,Project | 0.073 (0.049),"Table 10, Row 'Project', Column 'Per capita number of agriculture assets'"
PHRKN65M,PHRKN65M,Per capita number of assets,Number of household assets per household member,Project,,10,0.201,0.136,,,786,Project | 0.201 (0.136),"Table 10, Row 'Project', Column 'Per capita number of assets'"
