study_id,key,outcome_name,outcome_description,treatment_arm,subgroup,table_number,effect_size,standard_error,p_value,confidence_interval,sample_size,literal_text,text_position
V5P2S7S3,V5P2S7S3,Household Income,Household income in PPP$,Treatment Waves 1-2,,2.1,98.0,34.2,0.01,,1385,98*** (34.2),"Table 2.1, Row 'Household Income', Column 'Treatment Waves 1-2'"
V5P2S7S3,V5P2S7S3,Household Income,Household income in PPP$,Treatment Waves 3-4,,2.1,4.4,36.3,,,1385,4.4 (36.3),"Table 2.1, Row 'Household Income', Column 'Treatment Waves 3-4'"
V5P2S7S3,V5P2S7S3,Household Income,Household income in PPP$,Treatment Waves 1-2,Not Depressed,2.2,121.0,39.0,,,1385,121 (39),"Table 2.2, Row 'Household Income', Column 'Not Depressed'"
V5P2S7S3,V5P2S7S3,Household Income,Household income in PPP$,Treatment Waves 1-2,Depressed,2.2,-21.0,76.0,,,1385,-21 (76),"Table 2.2, Row 'Household Income', Column 'Depressed'"
V5P2S7S3,V5P2S7S3,Household Income,Household income in PPP$,Treatment Waves 3-4,Not Depressed,2.2,2.9,43.0,,,1385,2.9 (43),"Table 2.2, Row 'Household Income', Column 'Not Depressed'"
V5P2S7S3,V5P2S7S3,Household Income,Household income in PPP$,Treatment Waves 3-4,Depressed,2.2,4.1,91.2,,,1385,4.1 (91.2),"Table 2.2, Row 'Household Income', Column 'Depressed'"
V5P2S7S3,V5P2S7S3,Household Income Q25,Household income in PPP$ at 25th percentile,Treatment Waves 1-2,Q25,2.1,60.06,20.75,0.1,,1385,60.06* (20.75),"Table 2.1, Row 'Household Income', Column 'Q25'"
V5P2S7S3,V5P2S7S3,Household Income Q50,Household income in PPP$ at 50th percentile,Treatment Waves 1-2,Q50,2.1,74.0,37.24,0.1,,1385,74* (37.24),"Table 2.1, Row 'Household Income', Column 'Q50'"
V5P2S7S3,V5P2S7S3,Women's Business Assets,Women's business assets in PPP$,Treatment Waves 1-2,,2.1,190.0,22.3,0.01,,1385,190*** (22.3),"Table 2.1, Row 'Women's Business Assets', Column 'Treatment Waves 1-2 Average Impact (OLS)'"
V5P2S7S3,V5P2S7S3,Women's Business Assets,Women's business assets in PPP$,Treatment Waves 3-4,,2.1,125.0,18.6,0.01,,1385,125*** (18.6),"Table 2.1, Row 'Women's Business Assets', Column 'Treatment Waves 3-4'"
V5P2S7S3,V5P2S7S3,Women's Business Assets,Women's business assets in PPP$,Treatment Waves 1-2,Not Depressed,2.2,209.0,23.1,0.01,,1385,209*** (23.1),"Table 2.2, Row 'Women's Business Assets', Column 'Not Depressed'"
V5P2S7S3,V5P2S7S3,Women's Business Assets,Women's business assets in PPP$,Treatment Waves 1-2,Depressed,2.2,93.0,45.0,,,1385,93 (45),"Table 2.2, Row 'Women's Business Assets', Column 'Depressed'"
V5P2S7S3,V5P2S7S3,Women's Business Assets,Women's business assets in PPP$,Treatment Waves 3-4,Not Depressed,2.2,137.0,26.0,0.01,,1385,137*** (26),"Table 2.2, Row 'Women's Business Assets', Column 'Not Depressed'"
V5P2S7S3,V5P2S7S3,Women's Business Assets,Women's business assets in PPP$,Treatment Waves 3-4,Depressed,2.2,55.0,54.0,,,1385,55 (54),"Table 2.2, Row 'Women's Business Assets', Column 'Depressed'"
V5P2S7S3,V5P2S7S3,Women's Business Assets Q50,Women's business assets in PPP$ at 50th percentile,Treatment Waves 1-2,Q50,2.1,161.0,13.76,0.01,,1385,161*** (13.76),"Table 2.1, Row 'Women's Business Assets', Column 'Q50'"
V5P2S7S3,V5P2S7S3,Women's Business Assets Q75,Women's business assets in PPP$ at 75th percentile,Treatment Waves 1-2,Q75,2.1,346.0,34.57,0.01,,1385,346*** (34.57),"Table 2.1, Row 'Women's Business Assets', Column 'Q75'"
V5P2S7S3,V5P2S7S3,Women's Business Assets Q90,Women's business assets in PPP$ at 90th percentile,Treatment Waves 1-2,Q90,2.1,534.9,54.33,0.01,,1385,534.9*** (54.33),"Table 2.1, Row 'Women's Business Assets', Column 'Q90'"
V5P2S7S3,V5P2S7S3,Women's Savings,Women's savings in PPP$,Treatment Waves 1-2,,2.1,56.0,8.27,0.01,,1385,56*** (8.27),"Table 2.1, Row 'Women's Savings', Column 'Treatment Waves 1-2'"
V5P2S7S3,V5P2S7S3,Women's Savings,Women's savings in PPP$,Treatment Waves 1-2,Not Depressed,2.2,56.0,7.6,0.01,,1385,56*** (7.6),"Table 2.2, Row 'Women's Savings', Column 'Not Depressed'"
V5P2S7S3,V5P2S7S3,Women's Savings,Women's savings in PPP$,Treatment Waves 1-2,Depressed,2.2,51.0,15.0,,,1385,51 (15),"Table 2.2, Row 'Women's Savings', Column 'Depressed'"
V5P2S7S3,V5P2S7S3,Women's Savings,Women's savings in PPP$,Treatment Waves 3-4,Not Depressed,2.2,25.0,8.5,0.01,,1385,25*** (8.5),"Table 2.2, Row 'Women's Savings', Column 'Not Depressed'"
V5P2S7S3,V5P2S7S3,Women's Savings,Women's savings in PPP$,Treatment Waves 3-4,Depressed,2.2,17.0,17.8,,,1385,17 (17.8),"Table 2.2, Row 'Women's Savings', Column 'Depressed'"
V5P2S7S3,V5P2S7S3,Women's Savings Q75,Women's savings in PPP$ at 75th percentile,Treatment Waves 1-2,Q75,2.1,87.0,12.69,0.01,,1385,87*** (12.69),"Table 2.1, Row 'Women's Savings', Column 'Q75'"
V5P2S7S3,V5P2S7S3,Women's Savings Q90,Women's savings in PPP$ at 90th percentile,Treatment Waves 1-2,Q90,2.1,189.9,24.54,0.01,,1385,189.9*** (24.54),"Table 2.1, Row 'Women's Savings', Column 'Q90'"
